Genes	CT_1	CT_2	CT_3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
CISH	23.48	12.68	21.64	9.47	3.3	4.83	4.64	4.44	10.03	6.97	1.44	4.8	0.29	0.65	3.73
CLEC4E	31.36	37.16	46.4	83.45	82.6	116.26	108.56	137.31	93.62	88.49	106.6	129.2	163.32	187.3	129.81
CLEC4M	27.21	31.86	35.85	47.28	54.16	109.35	76.82	119.81	65.44	57.43	70.83	112.74	140.7	141.62	118.59
CP	0	0	0	0	0	67.17	53.75	28.23	44.38	70.26	25.7	0	0	0	84.71
CYC	1.97	0.65	1.96	3.92	3.49	10.6	18.68	48.73	15.65	41.75	76.07	36.24	214.22	242.84	174.13
CYP24A1	0.76	0.27	0	3.3	6.09	6.87	3	355.44	1.9	421.67	12.88	491.46	1.3	5.55	265.26
CYP2J2	0	0	0	0	0	124.21	97.65	127.76	132.08	89.19	98.59	0	0	0	91.88
CYP2K1	0	0	9.46	0	0	0	0	0	0	0.01	0	0	0	0	0
DECR2	12.07	15.51	21.24	6.08	7.44	6.49	6.27	4.82	8.09	4.39	6.14	4.5	4.05	5.32	3.72
DHCR24	9.09	14.86	10.59	18.05	48.64	31.89	37.95	42.83	18.72	26.58	42.72	33.34	33.62	26.4	28.55
DHCR7	5.73	5.85	5.7	9.31	18.11	22	22.01	22.39	12.23	17.9	13.36	10.68	21.26	8.1	13.82
DIO3	57.97	21.74	51.13	168.89	115.64	121.29	67.29	203.51	129.34	287.82	204.22	233.76	309.44	249.64	427.45
DLC1	2.75	3.41	3.55	7.5	7.96	12.3	9.27	12.12	8.47	11.35	14.76	14.86	15.72	17.26	17.43
EEF2	0	0	0.09	0	0	1060.87	0	37.82	69.62	659.33	77.25	0	0	0.03	626.92
EIF4E	2.17	1.19	3.29	13.34	5.29	10.84	18.6	48.02	18.84	23.74	38.91	46.91	159.22	163.6	161.56
ELL	5.87	5.25	5.75	16.67	11.19	20.47	16.68	32.75	14.02	29.65	21.86	30.89	18.04	24.8	28.82
ERRFI1	1.78	6.74	7.02	56.54	34.02	77.81	70.98	121.53	63.23	93.4	88.13	127.68	85.17	157.47	144.66
F2	2.27	7.98	8.74	31.91	33.33	36.08	111.5	113.33	33.09	82.8	96.58	50.05	109.73	80.17	98.46
FAAH	164.88	67.27	127.87	24.68	9.03	16.24	4.19	2.86	10.12	7.78	10.39	3.08	6.17	1.29	1.75
FBP1	88.8	61.88	48.96	168.77	146.22	131.51	372.23	86.25	301.95	254.91	277.23	231.6	691.82	449.71	284.45
FBP2	4.54	10.11	7.53	17.07	18.45	13.82	67.46	10.03	36.18	41.97	56.82	38.45	161.39	132.34	79.71
FDPS	9.96	8.54	8.79	15.83	25.53	23.29	26.46	32.14	15.45	21.58	39.04	17.56	19.43	16.86	17.87
FETUB	0	0	0	0	0	24.34	13.05	0	0	14.99	16.43	36.53	26.05	13.4	6.2
FGA	0	0	0.07	307.83	0	0	0	101.38	104.37	0	88.6	0	0	0.23	99.65
FGB	0.48	1.7	0.74	17.61	6.39	12.85	23.39	20.45	11.49	41.83	46.8	42.01	58.47	39.46	51.17
FHL1	5.75	8.37	7.84	3.74	3.57	2.92	3.22	2.33	1.79	3.7	2.6	2.27	1.54	1.71	2.61
FKBP5	0	0.46	0.32	4.04	2.07	5.51	6.61	9.44	4.18	8.5	10.97	6.87	15.44	21.05	15.56
FN1	0	0	22.5	0	0	0	0	0	0	0	0	0	0	0	0
FOSL2	0.49	0.42	0.5	3.19	1.42	2.4	3.41	9.47	7.92	58.44	56.24	45.64	238.59	167.53	239.07
GPD1	83.21	62.27	57.36	108.42	345.17	139.29	201.86	304.92	169.81	173.53	385.57	159.97	204.5	89.88	120.77
GRINA	8.53	8.83	10.08	18.91	29.46	34.4	20.94	44	38.98	44.57	29.9	44.62	40.5	32.11	32.94
HAMP	7.78	13.47	82.53	190.21	393.82	297.98	498.86	77.94	201.98	1849.52	76.2	637.73	560.96	467.06	73.16
HEPH	0	0	0.14	0	0	234.5	230.72	163.77	203.27	299.75	176.45	0	0	0	159.42
HIGD1A	3.21	3.23	2.33	9.65	4.99	17.9	11.59	21.49	14.44	43.94	53.59	18.21	162	205.78	144.63
HLF	1.72	1.79	1.11	7.41	3.13	7.26	9.04	3.96	8.4	10.75	6.83	6.2	4.3	2.65	4.16
HMGCR	0	0	51.65	0	0	0	0	0	0	0	0	0	0	0	0
HMGCS1	3.49	1.27	4.49	6.68	30.43	11.01	10.55	25.4	7.1	8.63	17.12	18.04	19.55	13.14	9.87
HMOX	226.67	204.06	166.6	108.74	48.59	97.45	58.39	78.18	49.52	54.23	65.29	58.87	30.4	17.5	41.79
HPX	0	0	0	0	9651.15	0	8446.26	8481.58	6142.08	6400.8	6676.96	0	0	0	7357.38
HS3ST3B1	4.86	5.1	6.65	14.92	8.54	15.87	12.4	16.02	8.95	9.3	11.73	18.16	37.33	56.39	30.74
HSD17B7	1.47	1.98	0.88	3.6	7.25	5.12	6.79	7.7	3.12	2.38	10.35	10.06	4.58	7.32	5.32
HSP30	0.95	1.55	1.35	0	0.11	0	0	0	0	0	0	0	0	0	0
IDI1	6.14	4.62	6.06	9.21	34.69	11.46	13.36	24.57	8.61	9.37	21.64	14.79	15.45	12.73	9.72
IDO2	27.14	32.27	33.07	16.19	10.34	12.29	11.23	9.44	18.2	13.76	7.05	6.46	4.88	5.84	12.94
IL1R1	15.26	16.76	20.95	37.52	30.27	50.57	70.69	100.78	56.56	41.5	91.08	66.61	105.81	67.13	74.22
IL6R	10.16	18.9	16.35	28.08	23.56	54.78	42.13	62.81	23.52	50.14	60.56	80.53	81.77	102.31	95.44
INSIG1	2.1	1.33	1.56	2.81	4.3	7.07	9.59	15.46	10.37	23.65	33.86	19.15	130.2	166.01	130.09
ITIH3	16.09	0	37.11	0	0	0	0	0	0	0	0	0	0	0	0
KLF12	2.67	2.59	1.89	7.65	4.61	12.22	14.14	12.14	6.04	10.88	9.87	11.3	18.74	12.68	18.19
KRT18	165.53	0.02	0	0.09	0.08	0	0	0	0	0	0.04	0	0	0.05	0.03
L2HGDH	0.86	1.07	0.47	10.56	24.52	30.27	73.1	41.9	57.37	57.96	72.51	26.2	46.17	65.9	60.16
LECT2	7.68	8.98	7.87	29.97	23.54	19.79	41.79	23.36	15.87	72.84	47.15	61.46	87.96	124.25	14.35
LRR1	3.99	3.81	4.42	2.24	1.04	0.49	0.46	0.66	0.98	1.4	0.67	0.99	0.28	0.29	0.42
MAPK6	9.51	7.95	7.68	34.49	25.8	46.91	60.9	95.99	73.19	129.77	114.5	104.64	146.49	186.07	165.92
MDH	53.18	80.2	65.1	145.18	200.3	220.68	332.68	274	243.35	219.34	354.22	228.59	413.66	361.52	326.84
MID1IP1L	15.7	13.61	27.96	7.84	3.27	3.56	1.17	3.8	1.74	4.34	0.37	2.32	0.76	0.2	4.62
MKNK2	6.62	5.33	6.33	13.34	12.37	11.36	19.26	33.84	18.84	37.46	31.46	32.56	45.56	46.89	42.67
MT-ATP6	0	0	8156.59	3.42	0	0	0	0	0	0	2.59	0	0	0	6.6
MT-CO1	25.31	30.96	1899.15	20.95	29.74	21.02	18.55	16.75	22.88	34.56	21.82	22.73	31.83	40.78	22.58
MT-ND2	0.49	0.34	2054.63	0.37	0.34	0.25	0.45	0.14	0.17	0.1	0	0.21	0.12	0	0
MT-ND4	0	0	1766.51	0	0	0	0	0	0	0	0	0	0	0	0
MT-ND6	0	0	91.69	0	0	0	0	0	0	0	0	0	0	0	0
NFIL3	11.91	10.62	12.54	25.88	28.23	28.37	28.69	40.49	23.54	70.55	66.53	45.3	45.03	68.5	60.23
NOCT	5.38	4	3.08	17.56	14.62	26.98	20.26	25.41	24.74	84.77	58.77	22.73	35.46	64.57	52.26
NQO1	27.81	25.53	32.6	15.53	11.04	10.91	13.82	11.97	15.35	14.51	13.31	12.5	9.53	8.92	11.16
NUDT7	1.26	2.19	1.82	0.79	0.78	0.67	0.56	0.57	0.46	0.49	0.26	0.15	0.06	0.19	0.05
P33MONOX	5.68	18.29	9.32	1.12	2.25	1.32	3.45	0.58	2.46	3.88	1.6	1.06	3.46	3.72	2.97
PAIP2B	4.25	8.82	7.82	18.87	16.21	27.52	23.27	27.97	36.81	22.12	22.15	26.09	13.12	13.67	20.54
PDIA3	6.03	11.91	10.81	14.73	44.9	15.73	18.39	18.02	22.82	15.96	26.83	26.07	33.92	54.45	43.74
PDK2	56.43	52.68	68.44	173.6	131.41	153.44	150.22	136.72	85.82	191.83	217.73	131.16	179.39	76.23	186.22
PDLIM2	7.74	12.63	12.18	2.42	5.56	4.62	4.9	2.41	2.28	3.68	1.69	2.08	0.28	0.59	0.84
PIM3	4.22	5.58	4.46	12.75	13.91	16.59	32.96	51.26	26.56	64.29	78.77	91.87	96.73	86.93	77.18
PLIN2	21.51	16.54	14.57	31.51	57.29	104.49	118.31	150.54	74.17	290.93	419.72	132.97	540.67	232.39	228.76
PNP	85.7	91.05	42.92	202.07	193.91	601.36	733.04	1020.55	890.82	1575.95	1198.74	1408.24	1175.85	2357.23	1258.27
PPARA	1.7	2.78	2.03	3.47	12.36	22.82	23.27	18.83	11.35	13.43	57.39	7.85	171.78	148.18	74.5
PPDPFA	86.78	145.93	92.48	217.31	284.3	244.63	369.37	408.03	383.8	245.51	465.59	484.83	237.96	236.5	257.21
PPM1K	2.22	0.98	0.65	1.75	16.28	9.13	20.59	8.73	6.74	2.49	21.55	5.08	39.17	9.03	5.75
PPP1CC-A	1.08	2.4	1.21	5.1	6.3	10.26	17.49	20.43	7.86	26.69	19.36	25.87	6.99	13.08	8.62
PPP1R3B	34.32	64.52	18.3	184.01	136.24	175.78	121	343.29	200.69	506.26	190.43	288.98	60.34	132.7	228.27
PPTC7	0.39	0.48	0.5	3.68	3.73	17.8	9.69	3.77	12.58	5.35	1.5	4.07	2.01	1.56	0.68
PRELID3B	3.59	2.25	2.48	16.53	19.39	35.82	36.12	98.04	37.35	132.31	190.23	65.66	279.82	332.08	264.18
PRODH	0.15	0.17	0.2	0.96	0.58	5.18	15.49	35.66	10.03	20.23	35.74	37.68	416.51	262.57	219.47
PSPH	2.34	1.56	2.66	3.56	5.81	3.91	10.73	11.15	8.4	3.02	17.95	7.05	37.24	18.54	10.32
RASD2	0.48	0.24	0.12	3.59	3.74	8.09	2.51	6.45	2.44	2.82	5.87	27.05	22.99	31.24	4.28
RBMX	13.64	14.73	13.16	5.21	6.14	7	4.55	3.96	3.17	2.16	3.23	4.05	4.55	2.41	2.97
RBP4A	204.93	257.76	408.01	99.21	178.89	91.27	142.39	55.52	91.47	134.51	133.66	61.42	36.71	28.34	38.64
RHBG-A	21.57	13.77	31.06	11.97	7.78	6.14	3.17	3.43	4.51	6.29	4.62	3.3	1.47	2.78	1.34
RHOAD	3.4	3.72	3.73	11.18	6.54	11.38	9.96	10.59	6.4	5.7	9.91	8.05	9.05	9.27	8.01
RND3	8.24	8.27	9.73	10.99	25.46	26.41	33.99	30.3	20.58	32.17	53.71	22.12	64.52	49.27	46.64
RNF223	0.08	0.28	0.21	1.89	4.04	2.93	1.96	3.54	0.81	1.21	1.63	3.86	3.74	9.43	1.82
RRBP1	11.5	13.82	17.93	19.05	43.28	26.91	31.11	59.23	34.86	18.92	47.27	38.44	44.65	69.21	67.59
RXRGB	43.66	27.43	37.62	13	11.92	9.17	11.17	9.56	18.85	14.01	11.54	11.63	6.55	4.71	9.13
SAT1	11.56	12.57	8.49	33.31	14.73	36.37	41.34	48.72	111.05	211.18	239.67	90.39	351.13	248.68	265.93
SERPINA3-3	0	0	0	22.69	12.99	7.21	33.92	10.06	121.29	97.03	98.05	175.54	1.04	15.33	7.42
SERPINA3-8	25.72	29.82	47.98	61.57	61.35	84.34	114.27	111.11	104.81	191.13	203.26	135.33	458.27	337.34	267.87
SERPING1	0	0	0	0	80	0	125.16	60.04	0	0	90.52	0	0	0	167.64
SFPQ	16.34	13.54	22.15	37.51	31.26	30.94	60.73	59.24	39.01	60.93	64.89	58.53	83.57	82.34	91.65
SLC16A1	0	0.84	0.57	6.43	3.74	26.14	42.09	17.62	11.76	37.55	29.55	23.75	105.3	53.47	89.69
SLC20A1B	5.89	6.01	7.72	9.84	13.44	33.19	25.94	59.93	21.43	43.27	78.51	36.51	201.82	236.09	202.91
SLC22A2	35.76	27.33	13.35	11.87	4.01	6.47	4.86	3.06	8.47	9.18	2.46	3.72	2.02	6.83	4.24
SLC25A25A	0.61	2	0.24	9.24	8.43	49.29	54	96.91	41.88	144.65	98.98	93.93	96.27	131.4	116.82
SLC2A12	10.66	11.44	12.25	2.95	6.47	5.74	4.18	2.35	6.28	4.89	2.38	3.56	0.55	0.44	1.2
SLC3A2	3.14	3.59	3.87	7.93	6.87	8.03	9.79	18.23	11.29	16.29	26.46	13.43	65.3	55.32	61.76
SOAT1	12.37	15.43	19.51	79.14	46.7	80.64	73.78	144.14	169.49	64.24	117.66	58.23	20.91	62	58.93
SOCS3	1.42	2.29	1.28	4.41	4.06	3.92	3.12	4.51	6.12	17	14.23	11.56	14.72	15.31	12.27
SSR1	0	0	0	0	26.46	19.42	20.87	10.95	36.22	8.16	33.12	0	27.4	26.5	0
TAT	0.76	0.5	0.47	2.66	5.77	11.38	9.14	9.12	11.19	16.1	4.89	11.53	6.9	9.36	6.22
TCF21	5.79	5.62	8.18	3.44	3.16	2.3	1.74	2.01	1.81	1.27	1.02	1.53	1.46	0.77	1.95
TF	0	0	0	2252.09	0	1005.29	0	1314.18	1548	4853.35	967.87	1399.18	0	1016.56	718.36
TOR3A	1.2	1.35	0.77	2.59	6.68	15.6	5.52	11.13	5.37	10.2	18.64	9.09	32.27	39.23	18.66
UGT3	0.76	2.47	2.39	6.71	6.61	6.28	5.64	6.25	29.04	3.58	10.61	5.35	5.71	19.5	22.82
UPP2	62.04	30.85	22.86	130.71	119.35	70.28	107.05	89.01	242.8	124.8	113.77	171	120.73	86.24	189.38
UROS	5.52	10.21	7.86	2.1	2.71	3.03	0.71	0.79	3.39	1.15	0.56	0.65	0.56	0.88	0.42
XBP1	67.53	40.89	80.11	112.77	149.74	204.12	189.54	173.8	130.33	192.53	217.46	161.7	241.69	267.28	183.9
YME1L1	9.12	8.29	10.7	17.32	15.37	22.24	24.53	40.04	22.77	27.85	34.74	30.47	54.87	52.23	60.78
YPEL3	17.44	29.03	27.49	6.63	7.95	4.24	2.89	2.44	9.38	6.13	4.14	4.47	0.62	1.22	1.4
