Value	Traits	Sex
3.21	Width	Female
3.49	Width	Female
4.68	Width	Female
3.8	Width	Female
4.26	Width	Female
4.13	Width	Female
3.4	Width	Female
3.2	Width	Female
4.29	Width	Female
3.38	Width	Female
3.14	Width	Female
4.05	Width	Female
4.8	Width	Female
4.92	Width	Female
4.69	Width	Female
4.5	Width	Female
4.69	Width	Female
3.27	Width	Female
3.05	Width	Female
3.24	Width	Female
3.66	Width	Female
4.97	Width	Female
4.01	Width	Female
3.76	Width	Female
3.04	Width	Female
4.81	Width	Female
4.44	Width	Female
3	Width	Female
4.71	Width	Female
4.82	Width	Female
4.71	Width	Female
4.27	Width	Female
4.89	Width	Female
3.11	Width	Female
3.49	Width	Female
3.99	Width	Female
4.72	Width	Female
4.05	Width	Female
3.52	Width	Female
3.39	Width	Female
3.11	Width	Female
3.89	Width	Female
3.94	Width	Female
3.22	Width	Female
3.41	Width	Female
3.58	Width	Female
3.15	Width	Female
4.89	Width	Female
4.56	Width	Female
3.12	Width	Female
4.95	Width	Female
3.02	Width	Female
3.21	Width	Female
3.34	Width	Female
4.32	Width	Female
3.39	Width	Female
4.22	Width	Female
3.03	Width	Female
4.1	Width	Female
4	Width	Female
4.03	Width	Female
3.41	Width	Female
4.41	Width	Female
3.37	Width	Female
3.43	Width	Female
4.38	Width	Female
4.94	Width	Female
3.58	Width	Female
4.39	Width	Female
3.39	Width	Female
4.81	Width	Female
3.73	Width	Female
3.52	Width	Female
4.33	Width	Female
3.88	Width	Female
3.76	Width	Female
4.24	Width	Female
3.87	Width	Female
3.18	Width	Female
3.85	Width	Female
4.81	Width	Female
3.44	Width	Female
3.36	Width	Female
4.72	Width	Female
4.55	Width	Female
4.02	Width	Female
4.21	Width	Female
3.27	Width	Female
4.59	Width	Female
3.31	Width	Female
4.05	Width	Female
4.59	Width	Female
4.97	Width	Female
3.84	Width	Female
48.06	Weight	Male
36.8	Weight	Male
39.98	Weight	Male
39.51	Weight	Male
42.74	Weight	Male
31.61	Weight	Male
38.76	Weight	Male
34.81	Weight	Male
45.25	Weight	Male
39.65	Weight	Male
44.95	Weight	Male
29.9	Weight	Male
30.96	Weight	Male
36.78	Weight	Male
43.21	Weight	Male
40.02	Weight	Male
35.01	Weight	Male
34.84	Weight	Male
44.65	Weight	Male
47.32	Weight	Male
45.44	Weight	Male
39.63	Weight	Male
28.2	Weight	Male
42.06	Weight	Male
42.11	Weight	Male
42.66	Weight	Male
30.69	Weight	Male
39.11	Weight	Male
38.78	Weight	Male
43.42	Weight	Male
27.85	Weight	Male
36.94	Weight	Male
39.86	Weight	Male
35.74	Weight	Male
33.5	Weight	Male
27.45	Weight	Male
45.66	Weight	Male
48.13	Weight	Male
33.39	Weight	Male
43.16	Weight	Male
29.07	Weight	Male
34.13	Weight	Male
42.51	Weight	Male
43.36	Weight	Male
33.32	Weight	Male
45.76	Weight	Male
28.52	Weight	Male
30.45	Weight	Male
31.87	Weight	Male
30.56	Weight	Male
32.39	Weight	Male
29.56	Weight	Male
39.86	Weight	Male
45.9	Weight	Male
31.16	Weight	Male
25.86	Weight	Male
41.91	Weight	Male
35.11	Weight	Male
27.65	Weight	Male
29.29	Weight	Male
29.4	Weight	Male
43.58	Weight	Male
37.42	Weight	Male
43.23	Weight	Male
43.2	Weight	Male
41.15	Weight	Male
29.53	Weight	Male
26.67	Weight	Male
45.51	Weight	Male
44.1	Weight	Male
30.42	Weight	Male
38.93	Weight	Male
44.09	Weight	Male
34.6	Weight	Male
43.78	Weight	Male
27.19	Weight	Male
30.61	Weight	Male
38.21	Weight	Male
37.95	Weight	Male
46.62	Weight	Male
46.32	Weight	Male
40.38	Weight	Male
44.88	Weight	Male
28.48	Weight	Male
38.23	Weight	Male
36.62	Weight	Male
39.93	Weight	Male
31.18	Weight	Male
47.54	Weight	Male
42.75	Weight	Male
48.24	Weight	Male
37.09	Weight	Male
36.49	Weight	Male
43.54	Weight	Male
46.83	Weight	Male
34.19	Weight	Male
34.27	Weight	Male
33.22	Weight	Male
42.54	Weight	Male
44.18	Weight	Male
11.65	Length	Male
10.98	Length	Male
9.8	Length	Male
11.84	Length	Male
9.55	Length	Male
10.5	Length	Male
9.68	Length	Male
12.01	Length	Male
11.78	Length	Male
8.98	Length	Male
10.25	Length	Male
9.31	Length	Male
10.16	Length	Male
9.09	Length	Male
11.28	Length	Male
8.94	Length	Male
10.09	Length	Male
10.5	Length	Male
11.11	Length	Male
12.06	Length	Male
11.35	Length	Male
10.24	Length	Male
11.03	Length	Male
9.68	Length	Male
10.79	Length	Male
9.15	Length	Male
11.52	Length	Male
9.95	Length	Male
11.23	Length	Male
10.12	Length	Male
10	Length	Male
11.84	Length	Male
10.03	Length	Male
8.99	Length	Male
10.21	Length	Male
9.74	Length	Male
11.32	Length	Male
9.17	Length	Male
9.92	Length	Male
9.61	Length	Male
12.01	Length	Male
11.78	Length	Male
9.91	Length	Male
11.23	Length	Male
9.6	Length	Male
10	Length	Male
9.94	Length	Male
10.09	Length	Male
11.19	Length	Male
9.92	Length	Male
12.11	Length	Male
9.67	Length	Male
9.82	Length	Male
11.02	Length	Male
10.44	Length	Male
10.92	Length	Male
10.61	Length	Male
9.05	Length	Male
11.36	Length	Male
11.43	Length	Male
11.64	Length	Male
9.94	Length	Male
9.81	Length	Male
10.14	Length	Male
10.65	Length	Male
8.98	Length	Male
9.29	Length	Male
10.19	Length	Male
9.32	Length	Male
10.1	Length	Male
9.34	Length	Male
8.99	Length	Male
11.59	Length	Male
12.16	Length	Male
11.82	Length	Male
10.01	Length	Male
9.46	Length	Male
11.99	Length	Male
10.24	Length	Male
11.76	Length	Male
9.38	Length	Male
10.3	Length	Male
11.05	Length	Male
10.09	Length	Male
11.5	Length	Male
8.94	Length	Male
12.13	Length	Male
11.87	Length	Male
9.02	Length	Male
10.79	Length	Male
10.6	Length	Male
10.22	Length	Male
9.52	Length	Male
10.66	Length	Male
10.24	Length	Male
11.37	Length	Male
11.18	Length	Male
12.07	Length	Male
11.15	Length	Male
10.32	Length	Male
3.61	Width	Male
3.34	Width	Male
3.33	Width	Male
3.03	Width	Male
4.09	Width	Male
3.54	Width	Male
4.64	Width	Male
3.72	Width	Male
4.75	Width	Male
3.51	Width	Male
4.86	Width	Male
3.28	Width	Male
3.81	Width	Male
4.61	Width	Male
3.46	Width	Male
3.86	Width	Male
3.24	Width	Male
4.97	Width	Male
4.8	Width	Male
3.1	Width	Male
3.46	Width	Male
3.18	Width	Male
4.49	Width	Male
3.41	Width	Male
3.91	Width	Male
3.72	Width	Male
3.4	Width	Male
3.69	Width	Male
3.19	Width	Male
3.66	Width	Male
4.11	Width	Male
4.89	Width	Male
4.83	Width	Male
4.07	Width	Male
4.85	Width	Male
4.6	Width	Male
3.86	Width	Male
3.77	Width	Male
3.06	Width	Male
4.04	Width	Male
3.6	Width	Male
4.36	Width	Male
4.05	Width	Male
3.52	Width	Male
4.3	Width	Male
3.86	Width	Male
4.09	Width	Male
4.18	Width	Male
3.67	Width	Male
3.03	Width	Male
3.45	Width	Male
4.75	Width	Male
4.41	Width	Male
4.46	Width	Male
4.52	Width	Male
4.8	Width	Male
3.48	Width	Male
3.68	Width	Male
4.78	Width	Male
4.18	Width	Male
3.31	Width	Male
4.77	Width	Male
4.09	Width	Male
3.57	Width	Male
4.66	Width	Male
3.24	Width	Male
3.46	Width	Male
4.14	Width	Male
3.52	Width	Male
3.45	Width	Male
3.37	Width	Male
3.39	Width	Male
3.02	Width	Male
4.85	Width	Male
3.63	Width	Male
3.49	Width	Male
3.66	Width	Male
3.94	Width	Male
3.71	Width	Male
4.77	Width	Male
4.85	Width	Male
4.93	Width	Male
3	Width	Male
3.28	Width	Male
3.03	Width	Male
3.97	Width	Male
3.1	Width	Male
4.92	Width	Male
4.52	Width	Male
4.75	Width	Male
3.1	Width	Male
3.99	Width	Male
3.17	Width	Male
4.88	Width	Male
3.53	Width	Male
4	Width	Male
4.04	Width	Male
3.08	Width	Male
4.15	Width	Male
3.59	Width	Male
