Genes	log2FoldChange	Pvalue	FDR
CLDN15	-2.70122445	1.01E-07	1.45E-06
CLEC4E	-0.109985688	0.633967866	0.806751894
CLEC4M	-1.940059038	0.000365602	0.002487579
CLPB	-1.483780563	2.05E-05	0.000192415
CNDP2	0.10740006	0.727070336	0.863925838
CNN3	0.281094324	0.434493328	0.652925744
CNPPD1	2.305186926	0.050909394	0.15060733
COA6	-0.338474979	0.190122629	0.391230865
COMTD1	-3.669075273	2.91E-07	3.89E-06
COX7A2	-0.654931188	0.217616794	0.426492402
CP	-0.331699071	0.886095519	0.946134634
CPB1	-1.653438252	1.55E-06	1.80E-05
CPB2	-0.609479049	0.198968316	0.402109515
CPT1A	-0.027292173	0.944318312	0.97348735
CREM	-0.743910732	0.202244977	0.406599694
CRIP2	-0.002715747	0.994024171	0.996964805
CSRNP1	1.293781677	0.000152036	0.001149628
CTGF	-1.287131658	6.37E-06	6.66E-05
CTNNB1	-0.162977226	0.839679435	0.924132881
CTSF	1.736380479	3.00E-07	4.01E-06
CXORF38	-0.47261175	0.293125692	0.516858638
CYB5A	-1.011590511	0.080147841	0.210013496
CYC	-1.770059484	0.007158512	0.031615567
CYP1A1	-0.145053492	0.602922078	0.786072976
CYP24A1	0.63086832	0.187940382	0.388731094
CYP2F2	-0.651826086	0.131305284	0.302637182
CYP2G1	-0.613505535	0.039485359	0.123310768
CYP2J1	-0.201526797	0.423266917	0.643002513
CYP2J2	-0.099540675	0.86778716	0.937850713
CYP2J6	0.468486825	0.131636086	0.303236991
CYP2K1	-0.021862593	0.939989861	0.971503143
CYP4V2	0.029319795	0.953166701	0.977760386
CYR61	4.096199256	0.000428965	0.002858999
DAPK2	0.699972129	0.010046607	0.041841866
DBI	-1.460774808	0.173207093	0.368650879
DCUN1D5	0.250710492	0.404865308	0.624717544
DDIT4	0.692489391	0.03894202	0.122152805
DDIT4L	0.301895724	0.175744989	0.372049463
DDX5	-0.03426621	0.892333535	0.948631211
DECR2	-3.822194103	1.43E-13	4.44E-12
DEF6	0.711085515	0.239135923	0.452558938
DHCR24	0.363572268	0.521910742	0.724938723
DHCR7	0.707841609	0.373109184	0.594377419
DHRS13	0.30602607	0.4526259	0.667424075
DIABLO	0.173402052	0.551820065	0.746512158
DIO3	-0.526705824	0.076824176	0.20377145
DLC1	0.875274774	0.518145287	0.722246093
DLST	0.618420858	0.572426825	0.76359896
DNAJA1	0.291585831	0.432270021	0.650789882
DNAJA3	0.459776058	0.222545671	0.433069439
DNAJC3	0.25471206	0.552557719	0.74705476
DUSP1-A	1.748289369	3.56E-12	9.16E-11
EEF1A	0.080100762	0.790866394	0.898237795
EEF1D	0.703024521	0.033980034	0.110249193
EEF2	-1.469522046	4.58E-05	0.000391312
EGR1	1.122477852	0.282085216	0.504312367
EIF1	0.11273874	0.646592832	0.815799364
EIF3A	1.432168341	0.139559006	0.315918479
EIF4A1	1.264045137	0.002768095	0.01429765
EIF4E	-0.636968661	0.29608602	0.520293396
EIF5	-0.321902988	0.644578674	0.814666283
ELL	-0.514611066	0.589729601	0.776727877
ELOF1	2.254514316	5.64E-10	1.12E-08
ENO3	-0.030707091	0.735699396	0.869029382
EPS8L3	3.472760931	2.17E-30	2.54E-28
ERG28	-0.647609439	0.510410871	0.716126564
ERRFI1	0.807587325	0.009958907	0.041544674
F10	0.008068575	0.983007665	0.990873482
F2	-0.108147618	0.639618121	0.811189619
FAAH	0.722148801	0.232189221	0.444390129
FABP3	3.207285123	2.44E-24	2.01E-22
FAM107A	0.958478361	0.456220974	0.671184842
FAM151B	1.477348896	0.013270283	0.052300926
FAM173B	0.170391927	0.787064514	0.896229038
FAM20A	0.291459576	0.281088244	0.503193089
FAM20C	0.236051091	0.605389657	0.787502069
FAM234A	-0.987142371	1.23E-06	1.45E-05
FAM57A	-1.767483738	5.21E-10	1.04E-08
FAM84A	-0.582631245	0.450353093	0.665659273
FBP1	-2.18292513	9.43E-05	0.000746555
FBP2	1.386313374	0.000245237	0.001748068
FDPS	0.872581953	0.435623372	0.653922806
FDX1	-0.091020966	0.74199578	0.872556703
FETUB	1.590994344	4.99E-06	5.33E-05
FGA	0.108517905	0.704830119	0.850251997
FGB	0.497678139	0.036692179	0.116888054
FGG	-0.127073856	0.554252298	0.748354666
FHL1	0.011318649	0.960135221	0.979954181
FKBP4	0.600161346	0.010977436	0.045001358
FKBP5	3.186247566	5.93E-18	2.78E-16
FMO5	-1.121548209	0.407195965	0.626420998
FN1	-1.069607382	0.177239397	0.374059047
FOS	1.599397746	0.001837283	0.010066537
FOSL2	-0.486431868	0.668381265	0.829584797
FOXA2	0.234394887	0.508985143	0.715004578
FOXRED2	-0.179699271	0.533081676	0.732601237
FTCD	1.573969335	0.168417032	0.361248442
G0S2	-0.1362009	0.612506939	0.792783075
G6PC	2.092297818	9.34E-09	1.59E-07
GADD45B	-1.822109364	0.079867341	0.209492117
GAPDH	-0.19782675	0.665160135	0.827652245
GAS2	-0.099243786	0.743167561	0.873202062
GCAT	-0.706239144	0.104231081	0.255125386
GCK	0.341766213	0.141079626	0.318612226
GFM1	1.379235156	4.13E-07	5.35E-06
GLB1	0.128304246	0.676735722	0.834646137
GLTP	1.665373857	4.28E-09	7.69E-08
GLUD1	0.070677399	0.820224852	0.914177742
GNB2L1	-0.233549568	0.417865508	0.637318271
GPAT3	-2.363280117	0.024203768	0.084562362
GPD1	-0.090555174	0.871351842	0.939555436
GPI	-0.799986576	0.000776022	0.004822536
GPR39	0.428480829	0.351907286	0.574390532
GPT2L	0.550224582	0.039819513	0.12420337
GPX3	0.218738118	0.874703286	0.941180491
GPX4	-0.370980141	0.478178574	0.689564522
GRHPR	-0.66394905	0.323989119	0.548232966
GRINA	-0.699188559	0.157039305	0.343291083
GYS2	-0.471061926	0.226880848	0.437816635
HABP2	-0.02980326	0.920287241	0.962683268
HADH	0.154443063	0.5624837	0.755762412
HAMP	-1.065821907	9.19E-05	0.000730226
HBB2	1.220130825	0.068726249	0.187976106
HCLS1	0.517585827	0.061026512	0.172548461
HEPH	0.616041393	0.063632367	0.178152139
HEXIM	0.252909141	0.441537317	0.65839076
HGFAC	-0.670716006	0.003737506	0.018375275
HGSNAT	0.840153468	0.001188299	0.006917811
HIF1A	0.166909983	0.545278301	0.74185026
HIGD1A	0.275642058	0.545762264	0.74202492
HINT1	-0.88789629	0.065337002	0.181650584
HIS3.3A	3.160811505	3.22E-10	6.60E-09
HLA-DRA	-0.55680261	0.098622245	0.24458063
HLF	-0.90143781	0.018397084	0.067679635
HMGB1P1	0.713850777	0.044718468	0.136231839
HMGB2	0.018031557	0.94088317	0.97169166
HMGCR	0.361731324	0.336864631	0.560459576
HMGCS1	1.025837154	8.71E-06	8.86E-05
HMOX	0.333683874	0.740623973	0.871707673
HOPX	-2.582130579	4.05E-06	4.41E-05
HPX	0.083448579	0.808282987	0.908449271
HS3ST3B1	1.039222164	2.84E-05	0.000255848
HSC70	0.123378306	0.767454835	0.885906689
HSD17B7	-0.059929632	0.880177237	0.944039836
HSP30	0.206021232	0.471541631	0.684965976
HSP90AA1	1.242492003	0.000169508	0.001263766
HSP90AB1	-0.302240553	0.168073738	0.360763792
HSP90B1	1.937682381	9.51E-05	0.000751624
HSPA5	1.598898918	2.46E-07	3.34E-06
HSPG2	0.449025045	0.203332154	0.407850728
ID1	2.36697618	2.37E-15	8.80E-14
IDH2	0.290054253	0.713012693	0.856766537
IDI1	0.307536012	0.388851981	0.609590223
IDO2	-3.468356541	7.65E-13	2.14E-11
IER2	0.022549167	0.953740064	0.977840424
IGFBP1	-2.176174884	2.95E-12	7.69E-11
IGFBP5	0.324294753	0.292045426	0.515780729
IL1R1	0.466018545	0.380512896	0.601409311
IL6R	0.254276244	0.343597422	0.566036212
INSIG1	1.169440515	0.000738528	0.004621194
INTS14	-0.360720699	0.322779694	0.547001245
IRF2BP2B	1.194668337	0.000166132	0.001241604
IRF3	-0.384354318	0.275574886	0.496821047
IRF8	-0.311563818	0.188144277	0.389004755
ITIH2	1.335919308	0.002928895	0.014997574
ITIH3	0.388364067	0.159975079	0.347883747
JUNB	0.206288538	0.472051664	0.685266226
JUND	-7.934209101	1.61E-39	2.85E-37
KANSL3	-5.03131245	1.70E-24	1.42E-22
KHDRBS1	-0.065566851	0.818616548	0.913233825
KLF12	0.396707034	0.069493416	0.189794755
KLF2	0.486815937	0.092160175	0.232671619
KLF6	-0.856149699	0.007496984	0.032865653
KLHL30	-0.810176652	0.048894528	0.146067783
KRAS	0.746867559	0.059261177	0.16851509
KRT18	0.26923611	0.496439548	0.704493521
L2HGDH	-0.915826749	0.016219951	0.06140184
LECT2	0.909340653	0.004687503	0.022299267
LEG1	-0.034349298	0.933317317	0.968765173
LIPC	-1.461914763	0.001042294	0.006197277
LITAF	1.122759831	0.001377036	0.007875054
LPA	-0.45146196	0.340854817	0.563609093
LRG1	1.033567497	0.003150985	0.015935247
LRR1	0.371069166	0.565806794	0.758706658
LRRC58	-0.334668597	0.294952129	0.51906996
MAPK6	-0.617007636	0.186728213	0.387063134
MB	0.037546098	0.905711701	0.955801712
MCL1	0.778557513	0.002010912	0.010897799
MCRIP2	-1.248806466	0.24283088	0.457679366
MDH	-0.228005361	0.358263757	0.580051016
MDH1	0.371423958	0.184094803	0.383223546
METTL7A	-1.31929704	0.000176775	0.001309718
MFSD2AB	-0.265131789	0.378583914	0.599466652
MGAM	0.724368762	0.640634082	0.811743613
MGST1	1.12556487	0.02355314	0.082720344
MIB2	-0.106075833	0.654911365	0.821463019
MID1IP1L	-1.650479661	0.115597831	0.275661742
MIOX	-0.003326148	0.993527933	0.996917187
MKNK2	-0.451576845	0.050973471	0.15067577
MMADHC	-4.946383236	4.21E-06	4.55E-05
MMP13	0.12044076	0.698872317	0.847174573
MOB2	-0.632547471	0.022553586	0.079883111
MR1	0.068787735	0.797866019	0.903077114
MSMO1	-5.395511502	2.63E-14	8.65E-13
MTAP	-1.841351037	0.072467906	0.19545719
MT-ATP6	0.227155128	0.39282655	0.6134508
MT-CO1	-0.459017358	0.09274331	0.233813358
MT-CO3	-1.312611039	0.004073574	0.01976908
MTG1	-2.795505294	4.36E-07	5.62E-06
MT-ND1	1.654675905	9.68E-10	1.89E-08
MT-ND2	-0.924357528	0.001921147	0.010470217
MT-ND4	1.016990997	0.180953378	0.379016326
MT-ND6	-0.027248934	0.993874451	0.996964805
MUG2	0.32391231	0.201633703	0.405741116
MYCL1B	0.407030367	0.176939126	0.373653944
MYL6	-0.326860716	0.391733191	0.61236692
NET1	-2.695962471	1.85E-14	6.25E-13
NFE2L2	0.006296613	0.987101695	0.992794322
NFIL3	-0.231729873	0.740892438	0.871791163
NLRC3	0.810255729	0.66829412	0.829543414
NOCT	1.025385687	0.001903509	0.010392459
NOP2	-6.337724709	4.57E-07	5.86E-06
NPR2	1.137126858	0.031859547	0.104691068
NQO1	0.22765842	0.870156521	0.939040613
NR0B2	-1.7086023	0.029005472	0.097451813
NR1D2	-2.844276639	9.41E-13	2.60E-11
NUDT7	2.713693311	4.94E-19	2.62E-17
NUPR1	-1.497114603	2.21E-07	3.01E-06
NUPR2	-0.992544555	0.003583027	0.017763058
P33MONOX	-0.865894473	0.05579244	0.16090541
PABPN1-B	0.171124383	0.715581365	0.858238271
PAIP2B	3.541466937	4.11E-39	7.11E-37
PARK7	1.048403286	0.086198718	0.221096629
PBLD1	0.145218795	0.684442849	0.838317433
PCK1	-0.836228727	0.400282488	0.620069868
PCK2	1.735945146	6.30E-08	9.54E-07
PCYT1B	0.207589233	0.556988316	0.750930908
PDIA3	4.25177388	9.06E-06	9.18E-05
PDIA6	1.188085218	5.32E-05	0.000447576
PDK1	0.642241278	0.024446075	0.085177306
PDK2	-0.907948416	0.012954609	0.051292799
PDLIM2	1.498906995	9.93E-10	1.93E-08
PEX3	0.276100731	0.360913944	0.582982837
PIM3	0.746969181	0.119281389	0.282717979
PISD	0.805377015	0.000556408	0.003607528
PLA1A	-0.55913955	0.253462927	0.470150555
PLAUR	0.549660633	0.064235918	0.179515928
PLG	-1.879445565	0.003559146	0.017678774
PLIN2	0.435668061	0.128873444	0.29838876
PLPP1	0.35170182	0.193288624	0.395235037
PLSCR1	0.347775867	0.306345466	0.530819779
PMP22	0.655243134	0.012694832	0.050615185
PNO1	-0.80829087	0.004062809	0.019729256
PNP	1.330778715	0.119052785	0.28226293
PNPLA2	-0.175030782	0.479305194	0.690368112
PNRC2	0.699358296	0.26547063	0.4856462
PPARA	2.084394972	4.70E-07	6.00E-06
PPDPFA	0.920127228	0.003799005	0.018618266
PPDPFB	0.811445949	0.003773039	0.018520442
PPM1K	0.717192873	0.539778276	0.738447335
PPP1CB	-0.489647829	0.703612658	0.849706804
PPP1CC-A	1.191637968	6.30E-05	0.000519936
PPP1R3B	3.568525308	2.92E-25	2.64E-23
PPP1R3CB	0.366160161	0.190247797	0.391255241
PPTC7	0.50177118	0.025886031	0.089087239
PQLC2	-0.656852073	0.484591701	0.69443624
PRELID3B	0.461525727	0.362088163	0.584010629
PROC	1.069725741	0.42844236	0.647754231
PRODH	-0.704345094	0.095466229	0.238673314
PRODH2	-0.356479041	0.194024219	0.395801193
PROM1A	-5.537790861	2.89E-16	1.16E-14
PSBP1	0.435751935	0.308028456	0.532735527
PSBP2	3.454980927	8.04E-10	1.58E-08
PSMC2	-0.280739109	0.458699639	0.672648948
PSPH	-1.453435044	2.15E-05	0.00020065
PTP4A2	-0.17960202	0.423695813	0.643283314
PURA	0.423617637	0.09427003	0.236721211
PZP	-1.17245328	0.002391304	0.012643731
QSOX1	-0.855222402	0.360355536	0.582385918
RASD2	-0.166262163	0.582383575	0.771332168
RBMX	-1.235759694	0.033228478	0.108320556
RBP2	-0.551834469	0.065737976	0.182424066
RBP4A	-1.355881578	0.139737861	0.316230493
RCL1	-0.471398097	0.203159875	0.407818887
RDH13	-2.632337469	1.93E-17	8.58E-16
RDH7	-1.013095749	0.007324541	0.032210431
RHBG-A	2.854882206	7.24E-05	0.000588722
RHOAD	1.137095856	0.0034718	0.017295422
RHOB	-0.402109215	0.327485716	0.551521002
RHOU	0.558394236	0.207226506	0.413648144
RNASEL3	2.370787191	3.26E-06	3.59E-05
RND3	-0.011206866	0.965675553	0.982659746
RNF223	-4.918565811	2.09E-08	3.40E-07
RNF224	0.039858117	0.909097647	0.957312687
RPL3	-0.23437974	0.289326033	0.51297479
RPL5	-0.99077361	0.010378208	0.042967566
RPL7	-0.126482124	0.751648586	0.878098175
RPS18	-0.158238477	0.503697931	0.710520209
RPS27	-0.37476858	0.191452861	0.392791547
RPS27A	-0.611094441	0.328269739	0.552117687
RPS3A	-0.036603891	0.961824836	0.98065172
RRBP1	-0.00404703	0.986458837	0.992380422
RTN1-A	-1.115661063	0.000318445	0.002210617
RXRBA	0.114184737	0.702614659	0.849307159
RXRGB	0.34840494	0.449442798	0.664956248
SAFB2	0.124623969	0.937382262	0.96997045
SAT1	0.892160292	0.143566105	0.322462998
SC5D	-0.572909868	0.007077294	0.03138272
SCUBE2	0.098292456	0.752056461	0.878098175
SEC23A	-2.05272021	6.41E-08	9.69E-07
SEPP1A	0.261413694	0.670257119	0.830642574
SEPP1B	-1.601197299	3.51E-09	6.36E-08
SERP1	-1.166436501	0.000938376	0.005662573
SERPINA3-3	-0.008425104	0.976839318	0.987924474
SERPINA3-8	0.11483916	0.826134643	0.917609966
SERPINA7	0.547420995	0.054098046	0.157433687
SERPIND1	-1.872149394	8.57E-06	8.75E-05
SERPINF1	0.116481108	0.761583004	0.883106284
SERPINF2	0.304731585	0.425603389	0.644972779
SERPING1	1.003609209	0.000324675	0.002244771
SERPINH1	0.131746275	0.653793797	0.820728933
SESN1	-0.664897788	0.553045487	0.747379729
SFMBT1	-0.811279677	0.043468591	0.133160885
SFPQ	-0.720927429	0.025774055	0.088840685
SGK1	1.067767011	0.001578669	0.008873468
SHBG	1.240328565	0.002464884	0.012944001
SHC2	-0.129289311	0.660297234	0.82439572
SLC10A3	-2.749896585	8.73E-22	6.01E-20
SLC13A5	0.040288101	0.998981994	0.999111597
SLC16A1	2.502671298	3.56E-07	4.68E-06
SLC20A1B	-0.426809421	0.620611302	0.798480568
SLC22A13	-0.37732938	0.174089186	0.369609896
SLC22A2	-1.891485654	0.001088521	0.006430196
SLC25A25A	0.561208434	0.074541922	0.199425187
SLC25A42	-1.197981156	0.001869476	0.01022113
SLC27A1	1.075252485	9.84E-05	0.000775685
SLC27A2	0.018694299	0.963293415	0.981499992
SLC27A6	-1.364890575	0.000107286	0.000837116
SLC2A12	0.536372817	0.143439146	0.322288655
SLC37A4	2.503572201	8.76E-17	3.67E-15
SLC3A2	-1.645295514	0.105933659	0.258267734
SLC51B	4.7524929	4.58E-25	4.06E-23
SLC5A7	-1.008325455	0.000559758	0.003624676
SOAT1	-0.497336559	0.204235834	0.409161653
SOCS3	0.398642172	0.140718395	0.317889555
SPP2	-0.44591232	0.119338979	0.282811002
SPRY4	0.530917956	0.06035827	0.170941183
SPSB4	0.020514627	0.936136611	0.969592521
SQSTM1	-0.7998897	0.363731573	0.585570992
SRSF10	-1.160274738	0.232315218	0.444537101
SRSF1B	-0.076728642	0.795552458	0.901633916
SRSF3	1.161184821	0.246165042	0.461809492
SRSF5	-0.408287253	0.193444587	0.395288228
SSBP3	0.911360964	0.016448106	0.062034467
SSR1	0.380496597	0.172030333	0.367040315
ST3GAL4	1.029658164	0.003463657	0.017271235
STAT1	0.68483136	0.024215358	0.084564526
STBD1	0.232294605	0.632109008	0.806548485
STIP1	-0.604431813	0.400386582	0.620084549
STYK1	-0.438730668	0.575847073	0.766172779
SUSD2	-0.622884912	0.18217291	0.380949672
SVEP1	0.018269064	0.962103272	0.980870743
SYP	-0.290051421	0.263145396	0.482767219
TAT	1.530375114	4.58E-06	4.92E-05
TCF21	-1.592128545	0.290175919	0.513716498
TCIM	0.284039337	0.366068089	0.588043113
TCP11L2	-0.591872307	0.070887242	0.192361509
TDH	-1.121817228	0.000612825	0.003918929
TF	-0.67629483	0.084192743	0.217216149
TF1	-2.000715519	4.94E-05	0.000418736
TIMM17A	-0.056715972	0.831020545	0.919723979
TLR5	-0.510655527	0.378641922	0.599496936
TM6SF2	-0.383950149	0.163277178	0.353122112
TMEM47	0.643274157	0.024197696	0.084560426
TNFSF11	3.639559971	0.000125115	0.000963551
TNK2	1.46769663	3.43E-05	0.000300942
TOB1	0.460533924	0.683077443	0.83804313
TOMM40	-0.895450977	0.036083281	0.115574684
TOR3A	0.940110936	0.018254909	0.067353922
TP53INP2	-0.57117357	0.315092573	0.5389859
TPD52L1	-0.243990555	0.475417815	0.68801571
TPM4	0.818572755	0.041122494	0.127340151
TPST1	-0.05989125	0.853172093	0.930712169
TRIB1	-0.727165008	0.040702673	0.126395532
TRIB3	-4.741092663	9.91E-10	1.93E-08
TRIM25	-0.031593303	0.92376379	0.964693695
TRIM35	-3.909908799	2.33E-05	0.000215073
TSKU	-0.109513188	0.727777479	0.864177512
TSPAN9	3.060132447	0.005982101	0.027368556
TSPO	0.537616227	0.093865969	0.235973505
TSTA3	-0.221595468	0.556450167	0.750336599
TTF1	-2.311628448	8.91E-07	1.08E-05
TUBA	-0.30154029	0.491971904	0.700195958
TXNIP	0.356401146	0.301348876	0.525825822
UBE2A	-1.220682135	0.007070754	0.031371767
UBE2D2	2.059376772	1.24E-10	2.64E-09
UCP2	-0.929833179	0.036698679	0.116888054
UFM1	0.585882582	0.111211967	0.268170408
UGP2	-0.126007752	0.633073896	0.806733043
UGT1A1	0.019716837	0.940407366	0.971616756
UGT3	0.669396162	0.029577385	0.098920634
UOX	-0.723254955	0.391735305	0.61236692
UPP2	0.58645935	0.514076503	0.718835037
UQCR11	1.307120163	0.374361392	0.59544199
UROC1	0.31319181	0.329404204	0.553301451
UROS	0.913549164	0.000960659	0.005783459
USP18	-0.197454858	0.643693921	0.814010101
V1G172254	-1.514721279	1.06E-06	1.26E-05
VCP	0.319529346	0.188505759	0.389386629
VPS11	0.775063887	0.033755678	0.109636621
VTN	-0.81173535	0.021777186	0.077686407
WDYHV1	0.242006937	0.871216404	0.939555436
WFDC2	0.064405902	0.896626153	0.950703667
WSB2	-1.518163941	0.137818973	0.313567245
XBP1	0.133070727	0.726623293	0.863925838
X-ELEMENT\ORF2	0.110773386	0.839166592	0.923879513
YME1L1	6.827868102	1.14E-35	1.72E-33
YPEL3	-2.661696081	0.008560156	0.036789031
ZFAND5	0.805393878	0.015818113	0.060262827
ZFP36	0.532024902	0.085671239	0.220114998
ZFP36L1	-0.074756514	0.862022741	0.934514599
ZGC:73324	0.125345862	0.706863188	0.852112824
ZGC:77082	-0.072827115	0.756652595	0.880710213
ZNF395	-0.247754442	0.55380146	0.747890626
ZNFX1	-1.188976077	0.180352173	0.378322423
