CT-vs-LT20	CT-vs-LT15	CT-vs-LT12	CT-vs-LT12_6
transcript_7964	transcript_7315	transcript_86	transcript_759
transcript_7271	transcript_9714	transcript_9597	transcript_3182
transcript_6060	transcript_3052	transcript_5499	transcript_11250
transcript_9476	transcript_4553	transcript_5801	transcript_10826
transcript_5008	transcript_4748	transcript_816	transcript_280
transcript_7678	transcript_2191	transcript_10302	transcript_5727
transcript_584	transcript_553	transcript_4363	transcript_10948
transcript_3468	transcript_6650	transcript_5307	transcript_3742
transcript_10302	transcript_7297	transcript_5571	transcript_590
transcript_3634	transcript_3169	transcript_3038	transcript_3723
transcript_2614	transcript_6173	transcript_3640	transcript_2621
transcript_627	transcript_4824	transcript_11294	transcript_10220
transcript_4246	transcript_1239	transcript_3467	transcript_10389
transcript_9884	transcript_6482	transcript_2545	transcript_3577
transcript_7817	transcript_1763	transcript_10575	transcript_5422
transcript_9281	transcript_2897	transcript_8647	transcript_8869
transcript_10893	transcript_326	transcript_5224	transcript_343
transcript_1966	transcript_9417	transcript_10632	transcript_10243
transcript_7075	transcript_10320	transcript_9003	transcript_1993
transcript_10464	transcript_1575	transcript_594	transcript_1674
transcript_4380	transcript_6697	transcript_5470	transcript_3076
transcript_4541	transcript_4821	transcript_206	transcript_1959
transcript_9328	transcript_752	transcript_1603	transcript_3285
transcript_4848	transcript_7579	transcript_269	transcript_3254
transcript_774	transcript_2529	transcript_9546	transcript_652
transcript_3241	transcript_8306	transcript_741	transcript_9628
transcript_3083	transcript_7554	transcript_7313	transcript_11144
transcript_1945	transcript_4012	transcript_11052	transcript_70
transcript_7392	transcript_3582	transcript_9542	transcript_5715
transcript_1568	transcript_8457	transcript_1580	transcript_2371
transcript_3953	transcript_7711	transcript_10822	transcript_3904
transcript_6074	transcript_11063	transcript_6397	transcript_5073
transcript_10715	transcript_8956	transcript_9768	transcript_5295
transcript_889	transcript_1766	transcript_5995	transcript_136
transcript_10747	transcript_3245	transcript_7534	transcript_10615
transcript_5375	transcript_9256	transcript_571	transcript_7356
transcript_5878	transcript_2531	transcript_8217	transcript_610
transcript_382	transcript_2557	transcript_9945	transcript_7645
transcript_2776	transcript_7493	transcript_9966	transcript_1265
transcript_1818	transcript_7934	transcript_7855	transcript_2675
transcript_4604	transcript_6303	transcript_3634	transcript_11030
transcript_4962	transcript_469	transcript_2479	transcript_7634
transcript_4857	transcript_11345	transcript_2056	transcript_1878
transcript_5061	transcript_3414	transcript_9351	transcript_2043
transcript_8378	transcript_5723	transcript_1162	transcript_4593
transcript_4394	transcript_8749	transcript_6074	transcript_8072
transcript_5443	transcript_1877	transcript_1935	transcript_6949
transcript_3024	transcript_1935	transcript_8947	transcript_2974
transcript_630	transcript_8765	transcript_3077	transcript_10535
transcript_10069	transcript_6058	transcript_5262	transcript_3151
transcript_3260	transcript_6381	transcript_7027	transcript_4209
transcript_2301	transcript_6188	transcript_6661	transcript_1535
transcript_1776	transcript_426	transcript_7011	transcript_5815
transcript_2121	transcript_3515	transcript_4804	transcript_3169
transcript_3612	transcript_3259	transcript_1146	transcript_2955
transcript_6036	transcript_6122	transcript_787	transcript_2807
transcript_7442	transcript_835	transcript_837	transcript_7118
transcript_9282	transcript_9664	transcript_836	transcript_7267
transcript_231	transcript_7589	transcript_5844	transcript_5705
transcript_9478	transcript_1506	transcript_1288	transcript_3083
transcript_8655	transcript_9393	transcript_1046	transcript_4857
transcript_50	transcript_461	transcript_812	transcript_7278
transcript_1603	transcript_7356	transcript_1315	transcript_980
transcript_9525	transcript_2351	transcript_8911	transcript_835
transcript_7736	transcript_8604	transcript_871	transcript_10073
transcript_3240	transcript_425	transcript_204	transcript_4851
transcript_6646	transcript_8127	transcript_4848	transcript_1647
transcript_1368	transcript_5943	transcript_5442	transcript_2132
transcript_649	transcript_10145	transcript_6949	transcript_8631
transcript_3991	transcript_3735	transcript_599	transcript_880
transcript_5928	transcript_8482	transcript_10488	transcript_8284
transcript_4896	transcript_2323	transcript_4717	transcript_846
transcript_10953	transcript_3463	transcript_4263	transcript_505
transcript_6278	transcript_1573	transcript_3118	transcript_158
transcript_6929	transcript_3954	transcript_10891	transcript_11219
transcript_7014	transcript_5451	transcript_2554	transcript_1543
transcript_4824	transcript_3344	transcript_402	transcript_2519
transcript_4885	transcript_4867	transcript_4867	transcript_1279
transcript_2552	transcript_4158	transcript_5035	transcript_3386
transcript_24	transcript_8669	transcript_6061	transcript_2989
transcript_9057	transcript_7443	transcript_7322	transcript_8151
transcript_9264	transcript_61	transcript_3282	transcript_1343
transcript_5995	transcript_5529	transcript_1432	transcript_1466
transcript_6737	transcript_3250	transcript_1937	transcript_2227
transcript_6976	transcript_6059	transcript_371	transcript_6560
transcript_8073	transcript_658	transcript_4159	transcript_6883
transcript_9047	transcript_1889	transcript_6675	transcript_4967
transcript_8509	transcript_641	transcript_2593	transcript_11509
transcript_6206	transcript_5531	transcript_7805	transcript_5235
transcript_7367	transcript_821	transcript_11195	transcript_4938
transcript_1918	transcript_2987	transcript_1105	transcript_7991
transcript_7293	transcript_202	transcript_5846	transcript_6913
transcript_9039	transcript_3713	transcript_8105	transcript_4330
transcript_7891	transcript_5838	transcript_1394	transcript_1108
transcript_1209	transcript_5314	transcript_5883	transcript_6058
transcript_993	transcript_5443	transcript_7346	transcript_7116
transcript_5727	transcript_8832	transcript_5030	transcript_6413
transcript_11195	transcript_5065	transcript_309	transcript_4604
transcript_9982	transcript_2841	transcript_9257	transcript_688
transcript_9045	transcript_8689	transcript_529	transcript_1030
transcript_9664	transcript_2675	transcript_5916	transcript_2089
transcript_4593	transcript_4616	transcript_5337	transcript_2873
transcript_4012	transcript_7580	transcript_3251	transcript_1085
transcript_10622	transcript_4848	transcript_7464	transcript_9343
transcript_9301	transcript_846	transcript_4303	transcript_5924
transcript_8471	transcript_8138	transcript_591	transcript_10721
transcript_8186	transcript_3767	transcript_606	transcript_8537
transcript_6170	transcript_9082	transcript_2589	transcript_6686
transcript_2859	transcript_9373	transcript_2859	transcript_4402
transcript_4010	transcript_6586	transcript_5268	transcript_2418
transcript_3118	transcript_4526	transcript_5003	transcript_377
transcript_3408	transcript_163	transcript_6929	transcript_355
transcript_3228	transcript_6550	transcript_7206	transcript_9468
transcript_8877	transcript_8217	transcript_6091	transcript_346
transcript_1766	transcript_4108	transcript_2978	transcript_7985
transcript_5529	transcript_811	transcript_5751	transcript_4158
transcript_6328	transcript_5781	transcript_10069	transcript_1577
transcript_4552	transcript_8219	transcript_3683	transcript_4531
transcript_10196	transcript_363	transcript_849	transcript_334
transcript_9955	transcript_626	transcript_3430	transcript_5822
transcript_8610	transcript_1435	transcript_1951	transcript_2091
transcript_5585	transcript_1230	transcript_774	transcript_9731
transcript_3242	transcript_5883	transcript_4386	transcript_316
transcript_10115	transcript_8210	transcript_5520	transcript_1005
transcript_6184	transcript_7096	transcript_1097	transcript_4565
transcript_2158	transcript_2754	transcript_3704	transcript_5567
transcript_4334	transcript_2513	transcript_1085	transcript_5331
transcript_3808	transcript_1871	transcript_1504	transcript_1232
transcript_10266	transcript_8451	transcript_2857	transcript_3349
transcript_5962	transcript_3497	transcript_4824	transcript_6558
transcript_1955	transcript_9515	transcript_5285	transcript_6084
transcript_3592	transcript_3987	transcript_4896	transcript_670
transcript_5854	transcript_3734	transcript_1589	transcript_2255
transcript_3066	transcript_1407	transcript_4584	transcript_9962
transcript_1827	transcript_11470	transcript_7074	transcript_3166
transcript_4855	transcript_1892	transcript_10384	transcript_731
transcript_9465	transcript_7400	transcript_10454	transcript_1435
transcript_8236	transcript_1134	transcript_9020	transcript_1069
transcript_2669	transcript_3913	transcript_5980	transcript_2424
transcript_6395	transcript_9306	transcript_9304	transcript_7271
transcript_986	transcript_10115	transcript_8107	transcript_4734
transcript_9524	transcript_4559	transcript_3009	transcript_7308
transcript_149	transcript_4394	transcript_1752	transcript_4445
transcript_6595	transcript_5923	transcript_3445	transcript_8929
transcript_9857	transcript_3117	transcript_1966	transcript_9872
transcript_7554	transcript_112	transcript_2256	transcript_8742
transcript_8619	transcript_3023	transcript_4832	transcript_202
transcript_6598	transcript_1245	transcript_139	transcript_3261
transcript_10416	transcript_9850	transcript_6150	transcript_1580
transcript_9509	transcript_6944	transcript_2376	transcript_489
transcript_6275	transcript_9713	transcript_4949	transcript_176
transcript_7325	transcript_3808	transcript_5758	transcript_3657
transcript_9113	transcript_3595	transcript_149	transcript_10069
transcript_11392	transcript_6620	transcript_3178	transcript_8228
transcript_5924	transcript_4073	transcript_11317	transcript_1575
transcript_7347	transcript_1460	transcript_4552	transcript_7810
transcript_4775	transcript_6474	transcript_960	transcript_4772
transcript_10439	transcript_8139	transcript_4680	transcript_5832
transcript_10166	transcript_3727	transcript_6890	transcript_1805
transcript_9043	transcript_10343	transcript_1336	transcript_8155
transcript_1288	transcript_3543	transcript_7509	transcript_8815
transcript_6050	transcript_5809	transcript_7397	transcript_1429
transcript_4093	transcript_4324	transcript_229	transcript_6653
transcript_1039	transcript_277	transcript_2826	transcript_7972
transcript_1906	transcript_11134	transcript_9933	transcript_4465
transcript_1329	transcript_6691	transcript_6502	transcript_7322
transcript_7914	transcript_9057	transcript_3085	transcript_6954
transcript_3772	transcript_7262	transcript_4073	transcript_1649
transcript_11468	transcript_6976	transcript_9515	transcript_1239
transcript_553	transcript_812	transcript_7308	transcript_724
transcript_3313	transcript_3220	transcript_1049	transcript_1929
transcript_512	transcript_10464	transcript_10627	transcript_7023
transcript_4748	transcript_6170	transcript_7685	transcript_698
transcript_6609	transcript_1176	transcript_3129	transcript_2897
transcript_9674	transcript_11070	transcript_2640	transcript_3272
transcript_1982	transcript_3118	transcript_3728	transcript_997
transcript_8169	transcript_4169	transcript_9256	transcript_2234
transcript_3962	transcript_3334	transcript_2675	transcript_2252
transcript_8990	transcript_8268	transcript_1892	transcript_3732
transcript_1316	transcript_6909	transcript_4861	transcript_1935
transcript_8490	transcript_1317	transcript_23	transcript_10722
transcript_7474	transcript_1337	transcript_9045	transcript_894
transcript_7080	transcript_5598	transcript_8839	transcript_2850
transcript_1889	transcript_1814	transcript_2116	transcript_6550
transcript_3611	transcript_5126	transcript_7914	transcript_5400
transcript_10432	transcript_4004	transcript_2255	transcript_3757
transcript_7997	transcript_3043	transcript_9509	transcript_6480
transcript_280	transcript_9985	transcript_1814	transcript_430
transcript_515	transcript_10344	transcript_1906	transcript_6019
transcript_3729	transcript_947	transcript_7611	transcript_876
transcript_1814	transcript_2262	transcript_1415	transcript_10751
transcript_4347	transcript_2479	transcript_10243	transcript_1945
transcript_8000	transcript_3038	transcript_6557	transcript_2616
transcript_118	transcript_1019	transcript_9912	transcript_3227
transcript_10677	transcript_4854	transcript_8617	transcript_378
transcript_7913	transcript_2301	transcript_11070	transcript_11382
transcript_2978	transcript_2171	transcript_5544	transcript_8252
transcript_10576	transcript_8406	transcript_4947	transcript_5061
transcript_3600	transcript_2449	transcript_4497	transcript_6533
transcript_741	transcript_6421	transcript_1475	transcript_6322
transcript_1822	transcript_1203	transcript_8993	transcript_9060
transcript_4111	transcript_9525	transcript_4163	transcript_9587
transcript_1675	transcript_7653	transcript_7758	transcript_282
transcript_371	transcript_8247	transcript_4227	transcript_901
transcript_10258	transcript_6925	transcript_5124	transcript_10772
transcript_5293	transcript_1867	transcript_8000	transcript_1475
transcript_233	transcript_625	transcript_1594	transcript_2991
transcript_10192	transcript_4849	transcript_6328	transcript_6912
transcript_8469	transcript_1439	transcript_10320	transcript_9934
transcript_2350	transcript_4334	transcript_2612	transcript_9029
transcript_6277	transcript_8944	transcript_4307	transcript_11468
transcript_6754	transcript_1354	transcript_7674	transcript_1317
transcript_3590	transcript_6865	transcript_4105	transcript_898
transcript_3215	transcript_6260	transcript_6064	transcript_2699
transcript_4303	transcript_2923	transcript_4223	transcript_5960
transcript_3942	transcript_4866	transcript_6650	transcript_9067
transcript_9393	transcript_25	transcript_1940	transcript_722
transcript_8535	transcript_6019	transcript_1581	transcript_5256
transcript_9537	transcript_7472	transcript_1351	transcript_10919
transcript_3727	transcript_8788	transcript_6853	transcript_7555
transcript_3396	transcript_3371	transcript_432	transcript_9061
transcript_10418	transcript_5417	transcript_6278	transcript_312
transcript_6081	transcript_4864	transcript_1329	transcript_3077
transcript_2319	transcript_3537	transcript_6954	transcript_4933
transcript_5943	transcript_2298	transcript_8673	transcript_11137
transcript_10703	transcript_1591	transcript_8457	transcript_4833
transcript_6714	transcript_3879	transcript_2546	transcript_2788
transcript_10689	transcript_3479	transcript_5215	transcript_8993
transcript_1510	transcript_2920	transcript_2113	transcript_2356
transcript_10685	transcript_2534	transcript_4005	transcript_7711
transcript_10676	transcript_6330	transcript_3249	transcript_425
transcript_163	transcript_4705	transcript_2443	transcript_6575
transcript_4607	transcript_8456	transcript_2283	transcript_8047
transcript_5892	transcript_9275	transcript_1567	transcript_7914
transcript_4030	transcript_231	transcript_3260	transcript_4601
transcript_8431	transcript_4152	transcript_1733	transcript_2344
transcript_1432	transcript_475	transcript_119	transcript_8582
transcript_8920	transcript_6468	transcript_10202	transcript_5139
transcript_5744	transcript_11153	transcript_3696	transcript_3194
transcript_4443	transcript_2629	transcript_923	transcript_1038
transcript_7533	transcript_568	transcript_8431	transcript_10703
transcript_10440	transcript_3410	transcript_10658	transcript_4009
transcript_9811	transcript_6291	transcript_10258	transcript_1700
transcript_11169	transcript_10210	transcript_2449	transcript_3155
transcript_2589	transcript_838	transcript_4693	transcript_1336
transcript_4623	transcript_2158	transcript_5345	transcript_7262
transcript_10029	transcript_5901	transcript_5305	transcript_1965
transcript_4238	transcript_5289	transcript_7400	transcript_5758
transcript_3728	transcript_4782	transcript_10460	transcript_4301
transcript_1677	transcript_7280	transcript_9543	transcript_315
transcript_11105	transcript_3083	transcript_2099	transcript_869
transcript_5127	transcript_1165	transcript_3367	transcript_3293
transcript_263	transcript_10289	transcript_2723	transcript_4728
transcript_1769	transcript_9785	transcript_5358	transcript_8238
transcript_9442	transcript_8766	transcript_3517	transcript_3072
transcript_8379	transcript_3435	transcript_4475	transcript_7224
transcript_8051	transcript_1712	transcript_7423	transcript_3548
transcript_250	transcript_9857	transcript_1885	transcript_120
transcript_4657	transcript_7080	transcript_9826	transcript_98
transcript_6188	transcript_7388	transcript_6654	transcript_5581
transcript_3955	transcript_243	transcript_5515	transcript_5677
transcript_8765	transcript_6116	transcript_527	transcript_4890
transcript_7995	transcript_594	transcript_4823	transcript_8690
transcript_10289	transcript_1085	transcript_4651	transcript_9848
transcript_606	transcript_9686	transcript_6522	transcript_1976
transcript_373	transcript_3517	transcript_10953	transcript_5322
transcript_4724	transcript_3467	transcript_10883	transcript_4391
transcript_11099	transcript_10729	transcript_3084	transcript_1567
transcript_5417	transcript_1315	transcript_3336	transcript_11547
transcript_10280	transcript_2111	transcript_9750	transcript_2537
transcript_9020	transcript_11144	transcript_5769	transcript_5130
transcript_3426	transcript_1680	transcript_5444	transcript_4824
transcript_6784	transcript_1776	transcript_579	transcript_10179
transcript_4935	transcript_3204	transcript_3994	transcript_2321
transcript_3281	transcript_9565	transcript_6690	transcript_3282
transcript_9023	transcript_11292	transcript_22	transcript_10963
transcript_8306	transcript_1351	transcript_10289	transcript_4062
transcript_2532	transcript_10995	transcript_2477	transcript_5463
transcript_2055	transcript_4157	transcript_6800	transcript_9967
transcript_8212	transcript_4215	transcript_5104	transcript_4705
transcript_7705	transcript_4472	transcript_9968	transcript_6961
transcript_4991	transcript_303	transcript_506	transcript_9567
transcript_847	transcript_3774	transcript_10	transcript_3650
transcript_7653	transcript_11468	transcript_2591	transcript_1443
transcript_9768	transcript_9387	transcript_3115	transcript_10695
transcript_3509	transcript_1061	transcript_7639	transcript_107
transcript_5173	transcript_3906	transcript_9755	transcript_11274
transcript_3425	transcript_5144	transcript_1135	transcript_1785
transcript_1553	transcript_7898	transcript_4193	transcript_402
transcript_166	transcript_7855	transcript_6989	transcript_9137
transcript_5276	transcript_7432	transcript_363	transcript_1417
transcript_2283	transcript_3	transcript_8421	transcript_8766
transcript_4815	transcript_3525	transcript_7129	transcript_4370
transcript_4559	transcript_1540	transcript_2763	transcript_3043
transcript_3432	transcript_4726	transcript_4950	transcript_2859
transcript_5580	transcript_660	transcript_5135	transcript_6730
transcript_2960	transcript_8921	transcript_10877	transcript_4050
transcript_840	transcript_3707	transcript_1669	transcript_2444
transcript_4042	transcript_7659	transcript_7304	transcript_3525
transcript_1103	transcript_2934	transcript_5131	transcript_1744
transcript_923	transcript_571	transcript_6575	transcript_10147
transcript_11382	transcript_9119	transcript_5143	transcript_258
transcript_9707	transcript_3693	transcript_453	transcript_2655
transcript_4468	transcript_9008	transcript_359	transcript_9265
transcript_9234	transcript_5437	transcript_11470	transcript_11436
transcript_539	transcript_1066	transcript_11432	transcript_9347
transcript_6103	transcript_5229	transcript_3143	transcript_6994
transcript_10635	transcript_9067	transcript_4839	transcript_7601
transcript_2926	transcript_6714	transcript_8096	transcript_220
transcript_7687	transcript_667	transcript_4921	transcript_4759
transcript_8427	transcript_6074	transcript_3616	transcript_5054
transcript_5393	transcript_6770	transcript_6739	transcript_1046
transcript_3041	transcript_10354	transcript_10635	transcript_8135
transcript_5507	transcript_8650	transcript_8065	transcript_5020
transcript_10877	transcript_6445	transcript_7157	transcript_5923
transcript_5715	transcript_7914	transcript_5054	transcript_660
transcript_6586	transcript_1155	transcript_8456	transcript_211
transcript_6080	transcript_4954	transcript_6579	transcript_6586
transcript_4375	transcript_10184	transcript_3949	transcript_303
transcript_295	transcript_9107	transcript_1568	transcript_5934
transcript_1351	transcript_4273	transcript_7297	transcript_3705
transcript_7055	transcript_11137	transcript_9524	transcript_6565
transcript_6114	transcript_8397	transcript_4895	transcript_9507
transcript_9675	transcript_1660	transcript_8252	transcript_9283
transcript_3744	transcript_975	transcript_7236	transcript_9182
transcript_9713	transcript_738	transcript_9785	transcript_7589
transcript_724	transcript_4093	transcript_1068	transcript_3342
transcript_11135	transcript_3634	transcript_8829	transcript_3241
transcript_10836	transcript_5008	transcript_11292	transcript_2761
transcript_7184	transcript_7288	transcript_19	transcript_6014
transcript_7312	transcript_1993	transcript_10677	transcript_1305
transcript_2800	transcript_5006	transcript_471	transcript_456
transcript_7408	transcript_4940	transcript_2800	transcript_1176
transcript_5998	transcript_4918	transcript_3727	transcript_4983
transcript_281	transcript_5067	transcript_7589	transcript_3817
transcript_10103	transcript_3242	transcript_1633	transcript_10052
transcript_796	transcript_9707	transcript_216	transcript_833
transcript_3286	transcript_3860	transcript_7493	transcript_5033
transcript_10288	transcript_7074	transcript_4939	transcript_1288
transcript_1475	transcript_4665	transcript_4069	transcript_4343
transcript_3624	transcript_11051	transcript_7441	transcript_8235
transcript_6675	transcript_10340	transcript_1433	transcript_632
transcript_2043	transcript_3315	transcript_8798	transcript_9569
transcript_5258	transcript_6811	transcript_1112	transcript_2224
transcript_1591	transcript_9173	transcript_9411	transcript_179
transcript_9582	transcript_1302	transcript_1648	transcript_2662
transcript_5783	transcript_6395	transcript_9301	transcript_5838
transcript_8228	transcript_10438	transcript_243	transcript_3245
transcript_9974	transcript_4375	transcript_7536	transcript_5998
transcript_2117	transcript_3218	transcript_3647	transcript_8240
transcript_6936	transcript_5033	transcript_6255	transcript_487
transcript_9966	transcript_8427	transcript_489	transcript_7461
transcript_7044	transcript_1677	transcript_6692	transcript_2062
transcript_8573	transcript_428	transcript_3187	transcript_1491
transcript_9912	transcript_8486	transcript_6136	transcript_9304
transcript_9275	transcript_997	transcript_1918	transcript_4238
transcript_4497	transcript_3215	transcript_7168	transcript_6293
transcript_538	transcript_357	transcript_11153	transcript_2747
transcript_9210	transcript_558	transcript_895	transcript_127
transcript_3407	transcript_2532	transcript_2788	transcript_5164
transcript_10382	transcript_1673	transcript_6134	transcript_10818
transcript_1526	transcript_6248	transcript_4851	transcript_371
transcript_988	transcript_5995	transcript_2756	transcript_4232
transcript_26	transcript_5458	transcript_8418	transcript_4552
transcript_6954	transcript_3217	transcript_4849	transcript_1019
transcript_743	transcript_4031	transcript_2653	transcript_7101
transcript_7675	transcript_1093	transcript_835	transcript_4786
transcript_2879	transcript_4498	transcript_4016	transcript_5106
transcript_9052	transcript_10382	transcript_3380	transcript_7187
transcript_605	transcript_8877	transcript_10344	transcript_215
transcript_9902	transcript_5962	transcript_7262	transcript_2479
transcript_8993	transcript_5924	transcript_8609	transcript_2221
transcript_4887	transcript_3647	transcript_8582	transcript_11130
transcript_2118	transcript_7634	transcript_5934	transcript_5883
transcript_2826	transcript_9001	transcript_6606	transcript_3063
transcript_4357	transcript_1609	transcript_7135	transcript_3538
transcript_9512	transcript_10302	transcript_8803	transcript_4625
transcript_211	transcript_10403	transcript_806	transcript_1377
transcript_752	transcript_7025	transcript_8676	transcript_1967
transcript_5163	transcript_280	transcript_2510	transcript_738
transcript_1305	transcript_11195	transcript_1540	transcript_5602
transcript_852	transcript_7645	transcript_1569	transcript_5844
transcript_7926	transcript_6595	transcript_5877	transcript_11313
transcript_6116	transcript_9414	transcript_5053	transcript_2456
transcript_2449	transcript_37	transcript_7474	transcript_2620
transcript_2066	transcript_10103	transcript_8495	transcript_5980
transcript_1162	transcript_10424	transcript_8243	transcript_536
transcript_2510	transcript_7379	transcript_3103	transcript_3748
transcript_2773	transcript_7308	transcript_342	transcript_5534
transcript_1993	transcript_8962	transcript_9394	transcript_6319
transcript_3227	transcript_6094	transcript_5705	transcript_1448
transcript_8749	transcript_768	transcript_10340	transcript_4264
transcript_11388	transcript_1543	transcript_9369	transcript_10959
transcript_6333	transcript_9055	transcript_906	transcript_7110
transcript_11167	transcript_4468	transcript_3473	transcript_10685
transcript_5664	transcript_8733	transcript_625	transcript_6091
transcript_9714	transcript_7775	transcript_6808	transcript_5239
transcript_1358	transcript_5887	transcript_5670	transcript_11346
transcript_736	transcript_7841	transcript_323	transcript_5188
transcript_4911	transcript_1982	transcript_3373	transcript_9902
transcript_9454	transcript_1299	transcript_943	transcript_5532
transcript_8255	transcript_7420	transcript_1743	transcript_2763
transcript_594	transcript_5511	transcript_6550	transcript_5533
transcript_1959	transcript_672	transcript_4183	transcript_330
transcript_6656	transcript_2913	transcript_1744	transcript_1199
transcript_2290	transcript_4386	transcript_7868	transcript_6890
transcript_9543	transcript_1145	transcript_1912	transcript_3892
transcript_8136	transcript_1954	transcript_8027	transcript_25
transcript_2534	transcript_11171	transcript_6420	transcript_1091
transcript_2795	transcript_196	transcript_5399	transcript_5668
transcript_436	transcript_1996	transcript_287	transcript_1203
transcript_3038	transcript_2766	transcript_5730	transcript_6606
transcript_10210	transcript_11406	transcript_8799	transcript_4948
transcript_1453	transcript_5934	transcript_425	transcript_4498
transcript_511	transcript_4969	transcript_526	transcript_2465
transcript_7237	transcript_9195	transcript_672	transcript_1769
transcript_2723	transcript_6723	transcript_1954	transcript_5122
transcript_5099	transcript_3443	transcript_10628	transcript_1444
transcript_2125	transcript_4227	transcript_6681	transcript_491
transcript_5470	transcript_6185	transcript_10163	transcript_2787
transcript_6101	transcript_4702	transcript_8854	transcript_1937
transcript_2295	transcript_6462	transcript_1302	transcript_3378
transcript_980	transcript_4163	transcript_2043	transcript_8543
transcript_425	transcript_9213	transcript_1470	transcript_6328
transcript_1338	transcript_6792	transcript_562	transcript_9859
transcript_6406	transcript_195	transcript_3530	transcript_983
transcript_9012	transcript_283	transcript_193	transcript_9032
transcript_8792	transcript_2971	transcript_8874	transcript_3024
transcript_61	transcript_5775	transcript_986	transcript_4063
transcript_4804	transcript_5854	transcript_975	transcript_989
transcript_7525	transcript_282	transcript_10519	transcript_5147
transcript_9343	transcript_2321	transcript_1061	transcript_2422
transcript_5778	transcript_1658	transcript_4111	transcript_9722
transcript_8110	transcript_2976	transcript_5034	transcript_8144
transcript_7934	transcript_1338	transcript_8749	transcript_7498
transcript_2592	transcript_10550	transcript_3063	transcript_3428
transcript_5877	transcript_11147	transcript_3344	transcript_3518
transcript_6502	transcript_4075	transcript_6290	transcript_1838
transcript_10059	transcript_9658	transcript_1959	transcript_291
transcript_2376	transcript_6739	transcript_348	transcript_2116
transcript_3023	transcript_8169	transcript_7891	transcript_233
transcript_2957	transcript_460	transcript_1337	transcript_5251
transcript_3250	transcript_8378	transcript_1151	transcript_10046
transcript_8103	transcript_8096	transcript_2397	transcript_2841
transcript_5808	transcript_539	transcript_9715	transcript_8722
transcript_2894	transcript_1788	transcript_11147	transcript_2055
transcript_1312	transcript_1568	transcript_7634	transcript_10675
transcript_434	transcript_5127	transcript_10721	transcript_7544
transcript_4073	transcript_3548	transcript_2934	transcript_3519
