Genes	CT	LT20	LT15	LT12	LT12_6	Pathways
HMOX	199.11	84.92666667	62.03	59.46333333	29.89666667	AMPK pathway
HPX	0	3217.05	7689.973333	4359.253333	2452.46	AMPK pathway
HS3ST3B1	5.536666667	13.11	12.45666667	13.06333333	41.48666667	AMPK pathway
HSD17B7	1.443333333	5.323333333	5.87	7.596666667	5.74	AMPK pathway
HSP30	1.283333333	0.036666667	0	0	0	AMPK pathway
IDI1	5.606666667	18.45333333	15.51333333	15.26666667	12.63333333	AMPK pathway
IDO2	30.82666667	12.94	12.95666667	9.09	7.886666667	AMPK pathway
IL1R1	17.65666667	39.45333333	76.01	66.39666667	82.38666667	AMPK pathway
IL6R	15.13666667	35.47333333	42.82	63.74333333	93.17333333	AMPK pathway
INSIG1	1.663333333	4.726666667	11.80666667	25.55333333	142.1	AMPK pathway
ITIH3	17.73333333	0	0	0	0	AMPK pathway
KLF12	2.383333333	8.16	10.77333333	10.68333333	16.53666667	AMPK pathway
KRT18	55.18333333	0.056666667	0	0.013333333	0.026666667	AMPK pathway
L2HGDH	0.8	21.78333333	57.45666667	52.22333333	57.41	AMPK pathway
LECT2	8.176666667	24.43333333	27.00666667	60.48333333	75.52	AMPK pathway
LRR1	4.073333333	1.256666667	0.7	1.02	0.33	AMPK pathway
MAPK6	8.38	35.73333333	76.69333333	116.3033333	166.16	AMPK pathway
MDH	66.16	188.72	283.3433333	267.3833333	367.34	AMPK pathway
MID1IP1L	19.09	4.89	2.236666667	2.343333333	1.86	AMPK pathway
MKNK2	6.093333333	12.35666667	23.98	33.82666667	45.04	AMPK pathway
MT-ATP6	2718.863333	1.14	0	0.863333333	2.2	AMPK pathway
MT-CO1	651.8066667	23.90333333	19.39333333	26.37	31.73	AMPK pathway
MT-ND2	685.1533333	0.32	0.253333333	0.103333333	0.04	AMPK pathway
MT-ND4	588.8366667	0	0	0	0	AMPK pathway
MT-ND6	30.56333333	0	0	0	0	AMPK pathway
NFIL3	11.69	27.49333333	30.90666667	60.79333333	57.92	AMPK pathway
NOCT	4.153333333	19.72	23.47	55.42333333	50.76333333	AMPK pathway
NQO1	28.64666667	12.49333333	13.71333333	13.44	9.87	AMPK pathway
NUDT7	1.756666667	0.746666667	0.53	0.3	0.1	AMPK pathway
P33MONOX	11.09666667	1.563333333	2.163333333	2.18	3.383333333	AMPK pathway
PAIP2B	6.963333333	20.86666667	29.35	23.45333333	15.77666667	AMPK pathway
PDIA3	9.583333333	25.12	19.74333333	22.95333333	44.03666667	AMPK pathway
PDK2	59.18333333	152.8166667	124.2533333	180.24	147.28	AMPK pathway
PDLIM2	10.85	4.2	3.196666667	2.483333333	0.57	AMPK pathway
PIM3	4.753333333	14.41666667	36.92666667	78.31	86.94666667	AMPK pathway
PLIN2	17.54	64.43	114.34	281.2066667	333.94	AMPK pathway
PNP	73.22333333	332.4466667	881.47	1394.31	1597.116667	AMPK pathway
PPARA	2.17	12.88333333	17.81666667	26.22333333	131.4866667	AMPK pathway
PPDPFA	108.3966667	248.7466667	387.0666667	398.6433333	243.89	AMPK pathway
PPM1K	1.283333333	9.053333333	12.02	9.706666667	17.98333333	AMPK pathway
PPP1CC-A	1.563333333	7.22	15.26	23.97333333	9.563333333	Autophagy pathway
PPP1R3B	39.04666667	165.3433333	221.66	328.5566667	140.4366667	Autophagy pathway
PPTC7	0.456666667	8.403333333	8.68	3.64	1.416666667	Autophagy pathway
PRELID3B	2.773333333	23.91333333	57.17	129.4	292.0266667	Autophagy pathway
PRODH	0.173333333	2.24	20.39333333	31.21666667	299.5166667	Autophagy pathway
PSPH	2.186666667	4.426666667	10.09333333	9.34	22.03333333	Autophagy pathway
RASD2	0.28	5.14	3.8	11.91333333	19.50333333	Autophagy pathway
RBMX	13.84333333	6.116666667	3.893333333	3.146666667	3.31	Autophagy pathway
RBP4A	290.2333333	123.1233333	96.46	109.8633333	34.56333333	Autophagy pathway
RHBG-A	22.13333333	8.63	3.703333333	4.736666667	1.863333333	Autophagy pathway
RHOAD	3.616666667	9.7	8.983333333	7.886666667	8.776666667	Autophagy pathway
RND3	8.746666667	20.95333333	28.29	36	53.47666667	Autophagy pathway
RNF223	0.19	2.953333333	2.103333333	2.233333333	4.996666667	Autophagy pathway
RRBP1	14.41666667	29.74666667	41.73333333	34.87666667	60.48333333	Autophagy pathway
RXRGB	36.23666667	11.36333333	13.19333333	12.39333333	6.796666667	Autophagy pathway
SAT1	10.87333333	28.13666667	67.03666667	180.4133333	288.58	Autophagy pathway
SERPINA3-3	0	14.29666667	55.09	123.54	7.93	Autophagy pathway
SERPINA3-8	34.50666667	69.08666667	110.0633333	176.5733333	354.4933333	Autophagy pathway
SERPING1	0	26.66666667	61.73333333	30.17333333	55.88	Autophagy pathway
SFPQ	17.34333333	33.23666667	52.99333333	61.45	85.85333333	Autophagy pathway
SLC16A1	0.47	12.10333333	23.82333333	30.28333333	82.82	Autophagy pathway
SLC20A1B	6.54	18.82333333	35.76666667	52.76333333	213.6066667	Autophagy pathway
SLC22A2	25.48	7.45	5.463333333	5.12	4.363333333	Autophagy pathway
SLC25A25A	0.95	22.32	64.26333333	112.52	114.83	Autophagy pathway
SLC2A12	11.45	5.053333333	4.27	3.61	0.73	Autophagy pathway
SLC3A2	3.533333333	7.61	13.10333333	18.72666667	60.79333333	Autophagy pathway
SOAT1	15.77	68.82666667	129.1366667	80.04333333	47.28	Autophagy pathway
SOCS3	1.663333333	4.13	4.583333333	14.26333333	14.1	Autophagy pathway
SSR1	0	15.29333333	22.68	13.76	17.96666667	Autophagy pathway
TAT	0.576666667	6.603333333	9.816666667	10.84	7.493333333	Autophagy pathway
TCF21	6.53	2.966666667	1.853333333	1.273333333	1.393333333	Autophagy pathway
TF	0	1085.793333	954.06	2406.8	578.3066667	Autophagy pathway
TOR3A	1.106666667	8.29	7.34	12.64333333	30.05333333	Autophagy pathway
UGT3	1.873333333	6.533333333	13.64333333	6.513333333	16.01	Autophagy pathway
UPP2	38.58333333	106.78	146.2866667	136.5233333	132.1166667	Autophagy pathway
UROS	7.863333333	2.613333333	1.63	0.786666667	0.62	Autophagy pathway
XBP1	62.84333333	155.5433333	164.5566667	190.5633333	230.9566667	Autophagy pathway
YME1L1	9.37	18.31	29.11333333	31.02	55.96	Autophagy pathway
YPEL3	24.65333333	6.273333333	4.903333333	4.913333333	1.08	Autophagy pathway
