name	baseMean	log2FoldChange	padj
CP	1182.165779	-0.396028018	0.285431011
CPB1	325.4137126	-0.12279926	0.730467526
CPB2	10.17710102	-1.815953954	0.028802357
CPT1A	564.2458966	-0.990228916	0.002628119
CREM	9.025426703	5.434401539	1.03E-05
CRIP2	1.601787148	4.034234925	0.01283342
CSRNP1	1335.789282	-1.754701705	3.79E-06
CTGF	1.697322748	-3.54273573	0.029443318
CTNNB1	337.2723005	6.330165837	2.99E-36
CTSF	3601.921922	-0.059574689	0.892684671
CXORF38	0.334022778	-1.135248742	NA
CYB5A	24.02397316	-3.427853736	8.22E-10
CYC	3515.26676	1.511149414	0.000146133
CYP1A1	1031.163619	-0.793273347	0.000463138
CYP24A1	0.090857703	1.112058521	NA
CYP2F2	723.834618	-0.964032312	0.022485066
CYP2G1	0.662822294	-0.547349501	0.797125726
CYP2J1	11.68054188	1.606756986	0.019292877
CYP2J2	938.8644231	-2.257778226	1.07E-08
CYP2J6	1051.987228	-0.041753273	0.940855008
CYP2K1	40.62673396	-0.082652528	0.925312049
CYP4V2	2415.535211	-3.291539356	1.11E-26
CYR61	0.19469065	1.580568385	NA
DAPK2	775.112903	0.546516312	0.096207371
DBI	16.16503567	-0.972425004	0.246950871
DCUN1D5	135.7393302	3.165368953	1.84E-14
DDIT4	2923.537361	-0.338111065	0.337639708
DDIT4L	2038.961014	-1.955024487	1.39E-13
DDX5	532.1069338	4.226570435	4.92E-64
DECR2	2550.016837	-0.561781247	0.062513149
DEF6	3.584778293	-0.685760794	0.605317032
DHCR24	1859.237383	-1.664309215	3.45E-06
DHCR7	1.691314132	3.367726999	0.040491811
DHRS13	389.18976	1.227476344	0.000607087
DIABLO	1.570377333	-0.383436194	0.841351408
DIO3	1597.941802	-0.08802603	0.843709829
DLC1	947.4969336	0.691314259	0.062515764
DLST	129.3499933	-0.056016645	NA
DNAJA1	1834.245354	0.905391805	0.003795058
DNAJA3	114.7204972	1.340131148	0.081937282
DNAJC3	38.11178562	1.412278184	0.020736802
DUSP1-A	250.7533393	2.36433874	5.31E-06
EEF1A	0.478260406	-1.756832952	0.359758905
EEF1D	2008.557599	1.645460252	1.74E-05
EEF2	8.890513113	0.076029814	0.942629737
EGR1	0.641764634	2.343197129	0.197023184
EIF1	122.3247467	1.73713713	0.021133088
EIF3A	406.1604638	-0.582559638	0.1727906
EIF4A1	0.170242201	0.205431671	NA
EIF4E	531.8534316	1.984919823	3.25E-06
EIF5	298.8533656	0.900354904	0.033238881
ELL	4016.522778	-0.176686441	0.652673358
ELOF1	2.291590757	-1.794469623	0.274736995
ENO3	0.739498963	-2.320058596	0.214508125
EPS8L3	4615.521209	-0.061627042	0.897137742
ERG28	0.09166694	0	NA
ERRFI1	21.71244376	-0.742291829	0.395389725
F10	364.9584837	-0.189436138	0.640809752
F2	16.81241865	0.555245585	0.620166384
FAAH	0.082192395	0	NA
FABP3	3085.261912	-0.691522084	0.033494939
FAM107A	25.5751585	-0.913135878	0.299765472
FAM151B	168.4782495	0.147250812	0.650854121
FAM173B	14.85840959	-0.509482297	0.57953009
FAM20A	41.70682003	0.446121763	0.462580474
FAM20C	540.48976	1.539096639	8.18E-07
FAM234A	20.35546734	-2.496454314	1.31E-05
FAM57A	1310.057778	-1.840550837	5.50E-05
FAM84A	20.55961086	-2.535964194	2.08E-05
FBP1	981.3701688	-7.378703158	1.95E-44
FBP2	370.6512893	1.77528309	1.35E-05
FDPS	431.3302727	-0.075594694	0.859952351
FDX1	393.2154988	-1.717958153	2.83E-06
FETUB	11.47347548	2.10245969	0.089000064
FGA	0.309556758	-2.043663587	NA
FGB	706.9154512	1.332451355	8.72E-07
FGG	0.750332989	-1.826788376	0.340563485
FHL1	1273.474119	-4.154671674	7.55E-51
FKBP4	5.170833507	-0.351918401	0.74860683
FKBP5	2166.966177	7.180736227	9.55E-88
FMO5	4890.699611	0.595626251	0.039348013
FN1	0.970177573	-0.83537567	0.671110716
FOS	1454.373408	-1.841423644	1.76E-08
FOSL2	72.51582082	-0.753638196	0.256890878
FOXA2	299.0350306	-3.031878334	3.56E-09
FOXRED2	2364.859792	0.143998427	0.655972558
FTCD	33.44011238	-3.423232215	5.49E-10
G0S2	56.65191741	-2.663912451	6.33E-08
G6PC	39.90360034	0.676703056	0.36420353
GADD45B	1379.780544	-2.341664589	8.13E-09
GAPDH	315.3896277	-0.498021371	0.462342494
GAS2	1991.996343	-1.180072553	1.67E-05
GCAT	265.6792535	-0.601309374	0.255872939
GCK	58.00422055	0.681691389	0.354567041
GFM1	0.238822422	-1.861664799	NA
GLB1	1150.414527	-0.118518929	0.85421406
GLTP	205.9853335	1.714768824	0.000947041
GLUD1	20.97147218	6.130968597	1.06E-09
GNB2L1	381.497651	0.430760734	0.560975874
GPAT3	2.330959768	3.015631528	0.050344313
GPD1	23.1971556	-3.693985214	1.41E-08
GPI	851.6346433	-0.107383294	0.844292673
GPR39	30.51932641	3.465794141	2.23E-07
GPT2L	564.535032	6.361751521	3.58E-20
GPX3	1780.01685	-1.119319438	0.002912179
GPX4	9.169233811	-1.69885861	0.055641076
GRHPR	1726.63168	0.875454694	0.008334721
GRINA	605.0520207	0.371542753	0.464323656
GYS2	1230.506323	0.394239595	0.260799875
HABP2	6548.262857	0.323267103	0.544176518
HADH	76667.59555	-1.766369154	0.083469558
HAMP	18301.40674	-0.813739521	0.034399093
HBB2	2554.213823	0.84979823	0.009396962
HCLS1	1293.85272	-0.774252672	0.033491632
HEPH	3.291400109	-2.940235812	0.091896863
HEXIM	211.4052999	-3.528601353	2.93E-08
HGFAC	378.6639363	-1.584446521	8.63E-09
HGSNAT	2481.73448	1.927156593	1.69E-09
HIF1A	252.1872191	-0.898485719	0.005684864
HIGD1A	1329.213016	0.618880532	0.090211559
HINT1	0.273225861	-1.45443749	NA
HIS3.3A	4307.456091	0.964584297	0.008677063
HLA-DRA	1765.696927	-0.470318621	0.296579368
HLF	79.09578415	0.916155536	0.30116589
HMGB1P1	383.5959837	-0.803315477	0.004721776
HMGB2	1033.080167	2.697394495	1.12E-10
HMGCR	431.8087478	0.758098013	0.155288998
HMGCS1	6079.791259	-0.360303268	0.03237792
HMOX	2505.872473	2.690157317	3.14E-19
HOPX	914.9604438	0.590951358	0.191790189
HPX	152.0672116	1.745983736	0.003747142
HS3ST3B1	0.209305185	0.900279358	NA
HSC70	4061.153982	4.697738589	1.75E-28
HSD17B7	683.612081	-0.461222832	0.277356431
HSP30	294.7236857	1.977366466	0.002357529
HSP90AA1	180.3468258	-0.856302651	0.002996817
HSP90AB1	15.01895061	2.488373647	0.00245814
HSP90B1	2388.029942	-1.412521757	2.03E-06
HSPA5	2.843535764	-2.48409526	0.029135601
HSPG2	183.522151	0.216653919	0.552755697
ID1	9.997937011	1.334770182	0.219716397
IDH2	4917.384657	-1.70983433	9.78E-07
IDI1	0.85041153	0.709969642	0.725948312
IDO2	252.4993509	2.08370709	6.04E-12
IER2	8.210388625	-6.136045211	3.29E-06
IGFBP1	78.30376915	-0.259670863	0.637575721
IGFBP5	3529.820743	1.565976384	1.64E-10
IL1R1	88.50354242	2.941503469	2.12E-12
IL6R	651.9366455	-0.358914764	0.193763338
INSIG1	371.9427558	-1.308404398	0.000851478
INTS14	1517.504466	-0.798413019	0.036958886
IRF2BP2B	5.301909188	0.951740995	0.317293544
IRF3	1862.350211	-0.574539582	0.164425566
IRF8	1059.438565	0.655473779	0.080919616
ITIH2	942.268698	-1.717508606	8.61E-09
ITIH3	52.64285526	3.542088369	0.006926458
JUNB	7.40406782	-1.796429821	0.060544913
JUND	1080.568805	-1.033174887	0.00116827
KANSL3	421.0031236	0.038537287	0.944936042
KHDRBS1	172.484564	3.385802901	2.11E-31
KLF12	364.8604305	1.397214802	0.000255488
KLF2	1461.960692	-0.995184264	0.00018176
KLF6	940.4450788	-2.295027878	1.21E-33
KLHL30	1178.447865	0.17938914	0.632511979
KRAS	1612.866292	-2.201409197	3.98E-15
KRT18	984.6006999	-0.607558839	0.045534582
L2HGDH	6753.010561	1.334956846	0.000502572
LECT2	23.11263804	0.01487066	0.987192392
LEG1	0.744597798	0.052412	0.986131695
LIPC	616.3517045	1.224296055	0.001343624
LITAF	2110.021954	-1.737374537	6.02E-10
LPA	30.04706824	0.132450701	0.882543069
LRG1	510.839381	7.604883496	1.19E-49
LRR1	922.9139466	0.054199277	0.876522664
LRRC58	1197.648902	-1.023431374	1.02E-05
MAPK6	614.8442894	1.508421926	5.01E-07
MB	1170.384543	2.58210101	5.55E-14
MCL1	682.2670671	-1.23292027	0.004982565
MCRIP2	368.6036565	-1.506450451	3.12E-06
MDH	1294.087049	0.595220603	0.245785818
MDH1	15.1674938	-4.011040179	1.46E-05
METTL7A	266.901783	-2.100115959	1.29E-17
MFSD2AB	0.048275334	0.720779922	NA
MGAM	952.7756148	6.679541248	4.76E-76
MGST1	757.1010888	0.352124474	0.1574313
MIB2	1822.895751	-2.518566887	3.47E-21
MID1IP1L	18.80363395	-3.016268095	3.62E-05
MIOX	754.288884	2.045484799	3.36E-07
MKNK2	199.5350049	2.292514898	4.07E-10
MMADHC	3.24268978	0.6792345	0.702593992
MMP13	687.7200224	0.662500089	0.196507689
MOB2	3983.65008	-0.287890377	0.486603374
MR1	2551.888771	-2.744724693	2.54E-11
MSMO1	5194.11025	-0.420056605	0.845748612
MTAP	2019.177934	-1.508419249	0.000147478
MT-ATP6	1337.526162	0.97132607	0.062370347
MT-CO1	1207.571421	-1.340330647	1.36E-09
MT-CO3	1175.381034	0.883917176	0.070383489
MTG1	2289.618417	1.062136333	0.004426294
MT-ND1	1198.668959	-0.794789509	0.023641439
MT-ND2	2.727155387	-0.677906291	0.641804997
MT-ND4	2835.563492	1.111082003	4.07E-07
MT-ND6	3647.473244	0.891519708	0.036958886
MUG2	1112.022549	-1.250472725	0.00021726
MYCL1B	1579.378944	0.358706338	0.224015284
MYL6	475.0024607	1.480434646	7.16E-05
NET1	6572.531731	-3.438183275	4.53E-19
NFE2L2	364.8342508	1.857376367	3.74E-05
NFIL3	553.8315618	0.506904544	0.171263884
NLRC3	1046.213356	1.40913707	1.01E-06
NOCT	164.1778998	-1.103173222	3.47E-06
NOP2	1362.615351	1.13211799	0.01864022
NPR2	157.3484116	3.63028916	3.79E-12
NQO1	0.500450746	0.961037409	0.636489813
NR0B2	14.87140268	-0.436021014	0.702451164
NR1D2	192.4973221	-7.616252634	1.47E-22
NUDT7	1834.188134	1.324453832	0.005508041
NUPR1	2594.746011	0.536993929	0.109633695
NUPR2	848.7620016	3.448945607	1.97E-18
P33MONOX	522.6141101	0.033669451	0.944936042
PABPN1-B	2803.786118	1.532898136	3.20E-05
PAIP2B	11.73095039	3.398333421	0.001990012
PARK7	4038.506404	2.209144001	2.93E-12
PBLD1	1455.679633	0.838056569	0.000724164
PCK1	6.596059059	4.123014301	0.000352488
PCK2	1128.276396	3.163006506	5.06E-32
PCYT1B	4541.357524	-1.077508534	7.91E-07
PDIA3	1063.648369	-1.45180829	0.00038243
PDIA6	1175.491633	-0.379434747	0.344399609
PDK1	1805.456732	1.409936661	8.90E-05
PDK2	7.78850493	-2.521065052	0.07394662
PDLIM2	509.978298	-0.141681798	0.804464171
PEX3	11956.22047	-0.904776436	0.012120333
PIM3	1.676673521	-3.175735486	0.028203534
PISD	401.4372467	0.437439878	0.115926676
PLA1A	5052.487518	-3.876428262	7.15E-39
PLAUR	0.048275334	0.720779922	NA
PLG	1457.043584	0.457289896	0.196137176
PLIN2	65.66523846	-0.437735182	0.619418133
PLPP1	0.661691539	-1.229164187	0.538711075
PLSCR1	932.123287	1.03171358	0.000650406
PMP22	1895.769035	1.034313725	0.000149361
PNO1	1.663339362	-0.020612991	0.996068604
PNP	1301.209792	5.289095353	8.46E-21
PNPLA2	2568.23791	4.730552374	6.51E-50
PNRC2	21.74063635	0.674470971	0.191567449
PPARA	1203.893592	3.206156161	2.87E-11
PPDPFA	1016.962	-0.484943399	0.164892173
PPDPFB	10.25762991	-0.88139661	0.273820091
PPM1K	32.05800623	0.753810516	0.098398134
PPP1CB	1361.25045	1.958994379	1.78E-08
PPP1CC-A	610.2981815	-0.584697868	0.088030086
PPP1R3B	0.324524112	-1.286905331	NA
PPP1R3CB	534.0065842	1.903996102	7.48E-08
PPTC7	59.20992219	-0.685671772	0.039679812
PQLC2	3.229935081	-1.903276834	0.100818328
PRELID3B	7.530278858	-5.10669744	3.37E-07
PROC	0.168763602	0.197474442	NA
PRODH	0.301886063	-1.029806668	NA
PRODH2	56.07911557	-0.361341524	0.507269335
PROM1A	0.084044043	-1.256874438	NA
PSBP1	1.508979356	0.988469337	0.609639158
PSBP2	76095.80998	-1.586093896	0.000981851
PSMC2	48.95600288	0.487117975	0.774047868
PSPH	1479.570948	-2.124885201	1.80E-07
PTP4A2	605.5970556	3.142224886	3.11E-17
PURA	1.625839186	1.139585512	0.511965576
PZP	0.241398146	-1.811605953	NA
QSOX1	500.0500908	3.333022669	9.01E-19
RASD2	339.0177516	2.150703097	4.09E-08
RBMX	86.98563559	-3.194454313	1.22E-08
RBP2	5572.096747	-1.958778459	2.94E-06
RBP4A	709.9688402	1.079018285	0.00028267
RCL1	46.67398003	-0.285013485	0.630387659
RDH13	1131.501149	-1.020958749	0.014084353
RDH7	1.538947799	-2.76371368	0.095099098
RHBG-A	1.041354174	-0.693035278	0.728713975
RHOAD	853.6019841	0.91567733	0.002047149
RHOB	5.874212979	6.44121134	2.09E-05
RHOU	2.055591949	-3.963093893	0.015809758
RNASEL3	2125.757344	-0.321700906	0.416509553
RND3	5.306146218	3.149418784	0.001902052
RNF223	31.53741123	0.110718872	0.880818022
RNF224	1499.594104	0.476343999	0.225448973
RPL3	844.0998528	2.198349349	0.054253994
RPL5	263.5679125	-0.283242473	0.437482028
RPL7	5450.636222	-0.777801768	0.044675559
RPS18	377.7464482	-0.790550562	0.009352577
RPS27	1254.070959	0.451976404	0.066664138
RPS27A	37.70771055	-1.239178667	0.197834392
RPS3A	2713.763279	0.936866876	0.040104841
RRBP1	2623.499102	1.731611542	4.00E-07
RTN1-A	2555.249043	-2.040671408	1.22E-11
RXRBA	4184.029615	1.369096215	7.57E-05
RXRGB	985.3028977	1.791806838	3.25E-05
SAFB2	3220.747147	-2.166250258	2.99E-09
SAT1	3118.481245	-0.147121862	0.644082085
SC5D	253.5509528	2.137745062	5.38E-14
SCUBE2	133.2992817	1.436194487	1.04E-05
SEC23A	878.162091	2.846935716	1.64E-13
SEPP1A	4784.768356	-0.680797589	0.004464841
SEPP1B	132.2631773	-2.64810957	1.51E-10
SERP1	2177.122698	0.107907611	0.738783157
SERPINA3-3	2122.812777	-1.43804307	8.56E-05
SERPINA3-8	585.3258376	2.983092922	3.49E-14
SERPINA7	2379.658198	-1.369452267	4.87E-06
SERPIND1	0.389974309	-0.083320688	NA
SERPINF1	776.1497598	9.207445177	2.66E-41
SERPINF2	634.2489915	-0.304496477	0.332692887
SERPING1	357.045534	1.926357802	0.001649826
SERPINH1	626.7324367	-1.454851317	3.46E-10
SESN1	2111.691278	-2.065820227	6.51E-09
SFMBT1	26.06734268	4.497803367	1.31E-09
SFPQ	86.76370031	3.957251806	4.54E-21
SGK1	2258.959536	1.37218381	0.003888214
SHBG	1847.201722	-0.092942328	0.805637472
SHC2	721.5925062	0.7781126	0.032848179
SLC10A3	4608.539847	0.545486557	0.194143265
SLC13A5	2715.361878	-1.240786247	4.74E-05
SLC16A1	10495.80579	2.471741603	8.92E-08
SLC20A1B	59.62643501	-0.621691031	0.392595038
SLC22A13	1482.085377	0.873432591	0.174026953
SLC22A2	1257.560319	-3.665257832	5.68E-15
SLC25A25A	15629.89777	-0.275003065	0.664964946
SLC25A42	0.731766422	-1.404728056	0.469104672
SLC27A1	53.89393201	-0.178071212	0.850942373
SLC27A2	10168.19079	2.197790149	3.54E-05
SLC27A6	3376.862989	-0.783961327	0.004301078
SLC2A12	293.4056833	2.836196266	3.25E-14
SLC37A4	39.88836417	-2.104884442	0.000348992
SLC3A2	0.626899418	-2.912186518	0.109362044
SLC51B	1459.449002	-1.483916601	1.02E-05
SLC5A7	826.0818195	-1.157039266	1.60E-05
SOAT1	34.83102085	2.895295099	0.000175761
SOCS3	970.0270586	0.392618236	0.113464803
SPP2	1896.060814	1.51813404	0.006783695
SPRY4	1494.685348	0.730322125	0.017173839
SPSB4	4633.733093	0.946779822	0.012806094
SQSTM1	1337.010957	-1.1159845	0.000208916
SRSF10	2256.023175	0.612597053	0.024732733
SRSF1B	689.4802905	-0.325337938	0.322281493
SRSF3	384.3084313	5.430524423	2.60E-23
SRSF5	8702.907061	-1.637593367	7.98E-12
SSBP3	3129.153881	0.453948467	0.224576808
SSR1	17.29180786	-3.734821266	8.79E-06
ST3GAL4	329.0222021	3.656681894	2.24E-16
STAT1	1847.216306	-0.575453449	0.079395284
STBD1	746.9717126	2.452408614	8.93E-11
STIP1	2408.695652	1.118653496	0.00019865
STYK1	3114.779978	0.957972079	0.001697955
SUSD2	135.8220996	2.358750635	6.41E-13
SVEP1	3756.143006	-0.098312679	0.886416929
SYP	1084.181127	-1.414133035	3.08E-07
TAT	448.0532807	0.260060756	0.619549693
TCF21	2.032504754	-2.408718457	0.105399767
TCIM	321.052992	4.78989962	9.31E-28
TCP11L2	4631.867538	1.425778581	4.32E-06
TDH	1634.675215	-0.479291742	0.103785555
TF	1678.437652	-2.758655096	5.40E-23
TF1	681.9453345	2.46285125	2.15E-22
TIMM17A	1067.836746	0.150460741	0.683798538
TLR5	150.6978308	-0.048799625	0.907979463
TM6SF2	611.8521891	2.929440618	8.88E-13
TMEM47	1433.476271	-0.356419387	0.255595592
TNFSF11	1565.825453	2.325549186	6.91E-11
TNK2	3448.145329	-0.515207375	0.06656853
TOB1	51.32645465	-2.505027047	3.50E-05
TOMM40	5756.285082	1.405610313	8.69E-06
TOR3A	2722.121804	-0.271602783	0.408529174
TP53INP2	2774.345674	-3.325378843	5.33E-21
TPD52L1	1819.814994	1.577843259	2.34E-06
TPM4	1350.436014	-1.510488546	3.60E-06
TPST1	1115.036763	0.20125506	0.55993241
TRIB1	7.386496481	-5.217576329	4.10E-05
TRIB3	1104.474434	8.137226964	1.01E-53
TRIM25	1666.904902	-0.319424022	0.452697296
TRIM35	0.093216412	0	NA
TSKU	24467.84501	2.242006419	3.53E-07
TSPAN9	283.3855789	-0.446800688	0.130328768
TSPO	2974.85391	-2.21471879	5.55E-22
TSTA3	371.6663041	2.39319729	2.31E-19
TTF1	1876.828474	0.172171416	0.772197756
TUBA	0.070734335	-1.193116354	NA
TXNIP	336.5264488	-1.61715118	1.22E-08
UBE2A	1482.596664	1.178889557	1.67E-05
UBE2D2	497.3718104	0.31353196	0.444037254
UCP2	778.1519485	8.380889587	1.08E-52
UFM1	39.57415227	-1.388565338	0.01247877
UGP2	839.8805178	0.817658563	0.00187983
UGT1A1	973.6157594	-0.031522225	0.955198968
UGT3	1274.667338	-0.087960378	0.876061005
UOX	330.9040942	-1.380601935	0.015587072
UPP2	2773.777716	0.773738742	0.033141926
UQCR11	1484.262114	-0.378554244	0.229335907
UROC1	3202.189606	-1.0744999	0.007064796
UROS	30.62138013	3.741522524	2.47E-05
USP18	1.226908488	-0.928264099	0.594188135
V1G172254	1286.243605	-0.398397126	0.071211978
VCP	2.207005556	-1.785026557	0.224026285
VPS11	0.514060493	2.995962031	0.096139004
VTN	283.6455991	2.417462752	9.56E-08
WDYHV1	712.0227525	2.261216716	2.81E-08
WFDC2	0.32502058	-0.618713201	NA
WSB2	2773.809501	0.105426581	0.739588402
XBP1	1160.434537	-1.051853681	0.000537605
X-ELEMENT\ORF2	1372.021867	1.058536174	0.000266925
YME1L1	344.5774343	2.641699664	6.66E-15
YPEL3	279.1164587	2.453942884	3.70E-13
ZFAND5	1309.245737	2.152946574	2.03E-11
ZFP36	2727.0445	2.259304136	1.08E-14
ZFP36L1	3903.017712	-2.410349154	1.47E-32
ZGC:73324	3860.014751	1.308506056	0.000265918
ZGC:77082	0.049753933	0.732611329	NA
ZNF395	1825.975804	-0.386695269	0.208047418
ZNFX1	3368.955487	-1.310926592	0.000186199
